X,Y,facname,facdomain,borocd
-73.9693,40.796451,St. Michael's Church Complex,"Parks, Gardens, and Historical Sites",107
-73.966107,40.799501,Y After School At Grosvenor House,"Education, Child Welfare, and Youth",107
-73.9808,40.773039,First Battery Armory,"Parks, Gardens, and Historical Sites",107
-73.969009,40.802926,"Nicholas Roerich Museum, Inc.",Libraries and Cultural Programs,107
-73.9726,40.78976,Stephen Gaynor School,"Education, Child Welfare, and Youth",107
-73.965887,40.79283,Kensington Enterprises LLC,Core Infrastructure and Transportation,107
-73.969088,40.792519,Manhattan Children's Center (The),"Education, Child Welfare, and Youth",107
-73.981577,40.773261,American Folk Art Museum,Libraries and Cultural Programs,107
-73.981474,40.771596,Broadway & 64th Parking LLC,Core Infrastructure and Transportation,107
-73.967849,40.795919,Bloomingdale,Libraries and Cultural Programs,107
-73.981414,40.773209,Two Lincoln Square,"Parks, Gardens, and Historical Sites",107
-73.96012,40.799537,Southern Baptist Church,Health and Human Services,107
-73.981894,40.773546,Richard Tucker Park,"Parks, Gardens, and Historical Sites",107
-73.974388,40.788026,"Silent Cinema Presentations, Inc.",Libraries and Cultural Programs,107
-73.979192,40.788654,Metropolitan Montessori School,"Education, Child Welfare, and Youth",107
-73.961325,40.799231,Kowal,Health and Human Services,107
-73.977969,40.781776,PS 87,"Parks, Gardens, and Historical Sites",107
-73.978901,40.782916,Gloucester,"Parks, Gardens, and Historical Sites",107
-73.971983,40.789927,Rabbi Stephen Wise Towers (1),"Education, Child Welfare, and Youth",107
-73.974352,40.790343,One Parking 89th Street LLC,Core Infrastructure and Transportation,107
-73.980458,40.772444,J G B Education Services,"Education, Child Welfare, and Youth",107
-73.983341,40.775567,Tower 67,"Parks, Gardens, and Historical Sites",107
-73.969672,40.7944,Mp West 97 LLC,Core Infrastructure and Transportation,107
-73.983289,40.769663,"Jazz at Lincoln Center, Inc.",Libraries and Cultural Programs,107
-73.980885,40.783742,254 West 79th Street Parking Corp,Core Infrastructure and Transportation,107
-73.972602,40.790424,Amsterdam Garage LLC,Core Infrastructure and Transportation,107
-73.9727,40.792697,Evangelical Lutheran Church of the Advent,Libraries and Cultural Programs,107
-73.968152,40.792632,Westmont Parking Inc.,Core Infrastructure and Transportation,107
-73.974605,40.79389,Sp Plus Corporation,Core Infrastructure and Transportation,107
