X,Y,facname,facdomain,borocd
-73.941015,40.694923,Bedford Stuyvesant,"Education, Child Welfare, and Youth",303
-73.945307,40.67928,P. S. K0004,"Education, Child Welfare, and Youth",303
-73.947263,40.696705,Foundation Academy,Health and Human Services,303
-73.953468,40.680311,Masjid At-Taqwa,"Education, Child Welfare, and Youth",303
-73.940765,40.699688,St Nicks Workforce Development,"Education, Child Welfare, and Youth",303
-73.947187,40.683365,Siloam Presbyterian Church Food Pantry,Health and Human Services,303
-73.924724,40.682678,Union Baptist Church,Health and Human Services,303
-73.946995,40.686727,Pal Wynn Center,"Education, Child Welfare, and Youth",303
-73.92281,40.689178,Faith Assemblies,Health and Human Services,303
-73.947524,40.698058,Eng 230,"Public Safety, Emergency Services, and Administration of Justice",303
-73.957626,40.697712,Ach Tov V'Chesed,"Education, Child Welfare, and Youth",303
-73.946162,40.68096,Agape Social Services Beulah Ministry,Health and Human Services,303
-73.926255,40.680623,USDA-CEO  P140k At PS 77k Annex,"Education, Child Welfare, and Youth",303
-73.943096,40.694831,Tranquility Farm,"Parks, Gardens, and Historical Sites",303
-73.951925,40.693822,United Grand Chapter of Eastern Star,Health and Human Services,303
-73.950349,40.682329,"Bambi DCC, Inc.","Education, Child Welfare, and Youth",303
-73.941765,40.695996,Samaritan Daytop Village ACT Team,Health and Human Services,303
-73.937422,40.694962,SCO Family of Services,"Education, Child Welfare, and Youth",303
-73.944384,40.687911,First Quincy St Block Assoc,"Parks, Gardens, and Historical Sites",303
-73.931283,40.690151,South Road Tabernacle,"Education, Child Welfare, and Youth",303
-73.958002,40.693873,Yeshiva Tiferes Torah,"Education, Child Welfare, and Youth",303
-73.929032,40.688874,Brooklyn Rescue Mission Urban Harvest,Health and Human Services,303
-73.945438,40.688425,NYCHA-Louis Armstrong,"Education, Child Welfare, and Youth",303
-73.948541,40.689819,Hattie Carthan Community Garden,"Parks, Gardens, and Historical Sites",303
-73.959475,40.696942,Babove 32,"Education, Child Welfare, and Youth",303
-73.946333,40.679812,Brooklyn Legal Services,"Education, Child Welfare, and Youth",303
-73.939434,40.692569,Dekalb Avenue,Health and Human Services,303
-73.934676,40.694414,Roosevelt II,"Education, Child Welfare, and Youth",303
-73.937883,40.695407,Lewis Playground,"Parks, Gardens, and Historical Sites",303
-73.919317,40.687715,Garden Beautiful,"Parks, Gardens, and Historical Sites",303
-73.925235,40.687429,Our Lady Of Good Councel,Health and Human Services,303
-73.950112,40.68017,Madina Summer Program,"Education, Child Welfare, and Youth",303
-73.925619,40.691222,Charles Churn Christian Academy,"Education, Child Welfare, and Youth",303
-73.925837,40.687921,P.O. Reinaldo Salgado Playground,"Parks, Gardens, and Historical Sites",303
-73.945229,40.686076,Satellite East Middle School (K301),"Education, Child Welfare, and Youth",303
-73.942737,40.699499,Woodhull Hosp/Ems Station 57,"Public Safety, Emergency Services, and Administration of Justice",303
-73.947579,40.697588,P.S. 297 Abraham Stockton,"Education, Child Welfare, and Youth",303
-73.955299,40.682383,PS 3 & Playground,"Parks, Gardens, and Historical Sites",303
-73.933211,40.691539,J.H.S. 057 Whitelaw Reid,"Education, Child Welfare, and Youth",303
-73.926312,40.690744,"Dwana Smallwood Performing Arts Center, Inc.",Libraries and Cultural Programs,303
-73.940547,40.698188,Sumner,Health and Human Services,303
-73.939936,40.687974,Bedford Stuyvessant Early Childhood Development Center Inc.,"Education, Child Welfare, and Youth",303
-73.935411,40.685941,Cornerstone DCC,"Education, Child Welfare, and Youth",303
-73.928015,40.680195,Jackie Robinson Park,"Parks, Gardens, and Historical Sites",303
