X,Y,facname,facdomain,borocd
-74.01468,40.639072,Basilica of Our Lady of Perpetual Help,Health and Human Services,307
-74.023898,40.645499,Brooklyn Army Terminal,Administration of Government,307
-74.018975,40.645142,Finest Automotive Recovery Inc,Core Infrastructure and Transportation,307
-74.012265,40.640179,Primary Care Annex,Health and Human Services,307
-74.004965,40.650011,Sunset Pool,"Education, Child Welfare, and Youth",307
-74.008868,40.63706,"Huaqiao Yihu Institute, Inc.","Education, Child Welfare, and Youth",307
-73.982673,40.656262,Stanley Lamm Institute Preschool,"Education, Child Welfare, and Youth",307
-74.010996,40.648491,Sunset Park Children's School,Health and Human Services,307
-74.009909,40.64461,The Salvation Army Sunset Park Corps,Health and Human Services,307
-74.001054,40.658188,NYPD 72nd Pct Service Stn #6,Administration of Government,307
-74.003899,40.659901,MDC Brooklyn,"Public Safety, Emergency Services, and Administration of Justice",307
-74.001666,40.645813,PS 169,Health and Human Services,307
-74.011566,40.64715,Lucky Charms Day Care,"Education, Child Welfare, and Youth",307
-73.987487,40.664222,Brooklyn Sandbox,"Education, Child Welfare, and Youth",307
-73.994357,40.663498,"Brooklyn Treehouse Preeschool, Inc.",Health and Human Services,307
-74.007899,40.65048,NYPD Offices,Administration of Government,307
-74.001279,40.646237,Brooklyn Chinese American Assoc. Day Care,"Education, Child Welfare, and Youth",307
-73.976757,40.648718,Windsor Terrace,Libraries and Cultural Programs,307
-74.018975,40.645142,56 St Auto Repair Inc,Core Infrastructure and Transportation,307
-74.009514,40.651013,SCO Family of Services,"Education, Child Welfare, and Youth",307
-74.011128,40.653343,NYPD Warehouse,Administration of Government,307
-73.981854,40.656947,Park,"Parks, Gardens, and Historical Sites",307
-74.017706,40.652461,First Ave Rail Yard,Core Infrastructure and Transportation,307
-73.982523,40.656376,Pre-K Center At 500 19th Street Bro,"Education, Child Welfare, and Youth",307
-73.980804,40.65958,St Joseph The Worker Catholic Acad,"Education, Child Welfare, and Youth",307
-74.017662,40.651075,49th St-1st Ave Ind URA,Administration of Government,307
-74.004539,40.652806,Sasf @ P.S. 24k,"Education, Child Welfare, and Youth",307
-74.008715,40.643761,PS 94 & Playground,"Parks, Gardens, and Historical Sites",307
-74.0046,40.659371,"Storehouse #2, US Navy Fleet Supply Base","Parks, Gardens, and Historical Sites",307
-73.9961,40.659127,Weir Greenhouse,"Parks, Gardens, and Historical Sites",307
-74.020747,40.638167,Park,"Parks, Gardens, and Historical Sites",307
-74.007631,40.652207,Sunset Park Prep,"Education, Child Welfare, and Youth",307
-73.973523,40.650038,Park,"Parks, Gardens, and Historical Sites",307
-74.019375,40.641955,PS 503 and PS 506,Health and Human Services,307
-74.020416,40.646575,Foundation For Human Ecology (The),Libraries and Cultural Programs,307
-74.005439,40.65798,Baltic Resource and Wellness Center,Health and Human Services,307
