X,Y,facname,facdomain,borocd
-73.9771,40.686806,International Cs Of NY Annex,"Education, Child Welfare, and Youth",302
-73.988771,40.690409,Livingston Plaza,"Parks, Gardens, and Historical Sites",302
-73.993219,40.695628,Appellate Division Court,Administration of Government,302
-73.982549,40.687392,"Laz Parking New York / New Jersey, LLC",Core Infrastructure and Transportation,302
-73.99149,40.69241,Safe Horizon Counseling Center,Health and Human Services,302
-73.974429,40.685252,New Art Publications,Libraries and Cultural Programs,302
-73.991248,40.693707,Fedcap Wecare Service,Health and Human Services,302
-73.988948,40.689692,Kings County Criminal Court,Administration of Government,302
-73.975769,40.685615,Hanson Place Child Development Center Inc,Health and Human Services,302
-73.988358,40.701741,Imagine Dumbo - Adams,"Education, Child Welfare, and Youth",302
-73.9777,40.686704,Brooklyn Academy of Music,"Parks, Gardens, and Historical Sites",302
-73.985951,40.692743,Fulton Lawrence Parking LLC,Core Infrastructure and Transportation,302
-73.96104,40.690014,Community Partnership Charter,"Education, Child Welfare, and Youth",302
-73.985632,40.689207,Hoyt & Schermerhorn Parking LLC.,Core Infrastructure and Transportation,302
-73.98046,40.688571,Fox Square Plaza,"Parks, Gardens, and Historical Sites",302
-73.987596,40.690672,Brooklyn Ctr For Independ-Disabled,"Education, Child Welfare, and Youth",302
-73.97023,40.692545,Red Light Contemporary Music,Libraries and Cultural Programs,302
-73.987706,40.694613,Brooklyn Family Court,Administration of Government,302
-73.98177,40.68469,PS 38 & Playground,"Parks, Gardens, and Historical Sites",302
-73.98306,40.692163,Inst Of Design & Construction,"Education, Child Welfare, and Youth",302
-73.99439,40.692232,Mary Mcdowell Friends - Upper,"Education, Child Welfare, and Youth",302
-73.982707,40.687144,Eng 226,"Public Safety, Emergency Services, and Administration of Justice",302
-73.983031,40.690136,Albee Square Plaza,"Parks, Gardens, and Historical Sites",302
-73.989599,40.704825,Park,"Parks, Gardens, and Historical Sites",302
-73.989842,40.703793,Smack Melon Summer Arts Intensive,"Education, Child Welfare, and Youth",302
-73.971284,40.693855,PS 46 Playground,"Parks, Gardens, and Historical Sites",302
-73.991466,40.695156,Forest City Pierrepoint,Administration of Government,302
