X,Y,facname,facdomain,borocd
-73.846485,40.785624,College Point Park,"Parks, Gardens, and Historical Sites",407
-73.819857,40.761711,City Owned Property,Administration of Government,407
-73.826766,40.767267,Union Plaza Care Center,Health and Human Services,407
-73.826263,40.769926,"Health Force Solutions, L.L.C.","Education, Child Welfare, and Youth",407
-73.839466,40.773452,College Point Bus Garage,Administration of Government,407
-73.781823,40.780272,Worc Birchwood,"Education, Child Welfare, and Youth",407
-73.824394,40.756657,City Owned Property,Administration of Government,407
-73.777275,40.782432,PS 169 Playground (Jop),"Parks, Gardens, and Historical Sites",407
-73.844922,40.777599,City Owned Property,Administration of Government,407
-73.812071,40.795584,Swift Collision & Towing Ltd.,Core Infrastructure and Transportation,407
-73.848078,40.784995,"Eng 297, Lad 130","Public Safety, Emergency Services, and Administration of Justice",407
-73.823492,40.784715,George U Harvey Playground,"Parks, Gardens, and Historical Sites",407
-73.838745,40.756985,American Business Institute,"Education, Child Welfare, and Youth",407
-73.812673,40.761539,First  Presbyterian Church,"Education, Child Welfare, and Youth",407
-73.846041,40.784632,"Kunqu Society, Inc.",Libraries and Cultural Programs,407
-73.823122,40.74869,Kissena Corridor Park,"Parks, Gardens, and Historical Sites",407
-73.832347,40.767405,Traffic Division Enforcement,Administration of Government,407
-73.785522,40.777695,Clearview Park,Administration of Government,407
-73.837562,40.760387,Van Wyck Park Strip,"Parks, Gardens, and Historical Sites",407
-73.833778,40.751409,NYC Parks-Al Oerter Rec Youth Ctr,"Education, Child Welfare, and Youth",407
-73.826826,40.757792,"Louis Career Development Center, Inc","Education, Child Welfare, and Youth",407
-73.831945,40.759471,Jhi Enterprises Group Inc.,Core Infrastructure and Transportation,407
-73.844204,40.785871,St Agnes Academic High School,"Education, Child Welfare, and Youth",407
-73.825265,40.78534,Pre-K Center At 143 Street - Queens,"Education, Child Welfare, and Youth",407
-73.831214,40.76035,La Jornada,Health and Human Services,407
-73.84321,40.774155,"Delaney Associates, Lp",Core Infrastructure and Transportation,407
-73.823619,40.767488,"Ka On Parsons,Inc","Education, Child Welfare, and Youth",407
-73.802529,40.762142,"Korean American Heritage Foundation, Inc.",Libraries and Cultural Programs,407
-73.815585,40.771749,"Corner School, The","Education, Child Welfare, and Youth",407
-73.810069,40.768098,I Bear Daycare Center,"Education, Child Welfare, and Youth",407
-73.838688,40.754499,Park Strip,"Parks, Gardens, and Historical Sites",407
-73.799774,40.77835,Playground Twenty One,"Parks, Gardens, and Historical Sites",407
-73.826084,40.755955,Maple Playground,"Parks, Gardens, and Historical Sites",407
-73.814145,40.790588,Holy Cross Nursery,"Education, Child Welfare, and Youth",407
-73.831184,40.763986,Tpec Farrington LLC,Core Infrastructure and Transportation,407
-73.826736,40.764985,Flushing High School,"Education, Child Welfare, and Youth",407
-73.826736,40.764985,Flushing High School,Health and Human Services,407
-73.828642,40.764581,Kids Connect Day Care,"Education, Child Welfare, and Youth",407
-73.826826,40.757792,Berlitz On Campus/Life (Flushing),"Education, Child Welfare, and Youth",407
-73.828903,40.745172,P.S. 120 Queens,"Education, Child Welfare, and Youth",407
-73.810718,40.78853,Queens Library - Whitestone,"Education, Child Welfare, and Youth",407
-73.833645,40.756685,Surpass Prep Center,"Education, Child Welfare, and Youth",407
-73.826826,40.757792,"Central Parking System Of New York,Inc.",Core Infrastructure and Transportation,407
-73.832302,40.773906,College Point Industrial Park,Administration of Government,407
-73.809496,40.792118,P.S. 193 Alfred J. Kennedy,"Education, Child Welfare, and Youth",407
-73.818793,40.758045,Ywca Of Queens,"Education, Child Welfare, and Youth",407
-73.841667,40.762127,"Evergreen Recycling Products, Inc.",Core Infrastructure and Transportation,407
-73.7976,40.783011,Samuel Field Ym & Ywha Inc,Health and Human Services,407
-73.846099,40.783961,"Aabr, Inc.","Education, Child Welfare, and Youth",407
-73.829994,40.76011,English Language Learning Ctr,"Education, Child Welfare, and Youth",407
-73.848329,40.775438,Cliffside Rehabilitation & Residential Health Care Center,Health and Human Services,407
-73.830057,40.756799,Preschool Of America,"Education, Child Welfare, and Youth",407
-73.846167,40.770093,Qns 7 Sanit Garage Annex,Administration of Government,407
-73.824127,40.787867,City Owned Property,Administration of Government,407
