X,Y,facname,facdomain,borocd
-73.954213,40.811822,St. Joseph of the Holy Family,Health and Human Services,109
-73.951286,40.823079,Alexander Hamilton Playground,"Parks, Gardens, and Historical Sites",109
-73.94965,40.824805,Ccny Scholars Academy (Nac),"Education, Child Welfare, and Youth",109
-73.944823,40.830459,PS M226,"Education, Child Welfare, and Youth",109
-73.946922,40.82539,Upper Manhattan Adult Outpatient Clinic,Health and Human Services,109
-73.963365,40.81147,Claremont Parking Corp,Core Infrastructure and Transportation,109
-73.947297,40.82366,"Firelight Media, Inc.",Libraries and Cultural Programs,109
-73.954387,40.817899,Manhattanville,"Education, Child Welfare, and Youth",109
-73.962565,40.812032,The Riverside Church FP,Health and Human Services,109
-73.949438,40.830694,Aobh,"Education, Child Welfare, and Youth",109
-73.948819,40.817271,St. Nicholas Park,"Parks, Gardens, and Historical Sites",109
-73.947998,40.825712,Hamilton Grange,Libraries and Cultural Programs,109
-73.964016,40.810939,NY Theological Seminary,"Education, Child Welfare, and Youth",109
-73.942618,40.829627,City Owned Property,Administration of Government,109
-73.962512,40.811956,Riverside Freedom School,"Education, Child Welfare, and Youth",109
-73.963076,40.813434,General Grant National Memorial,"Parks, Gardens, and Historical Sites",109
-73.957064,40.819779,New Designs Middle School,"Education, Child Welfare, and Youth",109
-73.960537,40.81025,Teachers College,"Education, Child Welfare, and Youth",109
-73.960923,40.805166,Cares At St Lukes Roosevelt Hospital,"Education, Child Welfare, and Youth",109
-73.9631,40.811764,Riverside Church,"Parks, Gardens, and Historical Sites",109
-73.946922,40.82539,Upper Manhattan Mental H.C. Inc.,Health and Human Services,109
-73.95532,40.827276,Riverbank State Park So. End # 2,"Education, Child Welfare, and Youth",109
-73.955626,40.815707,The Urban Assemblies Institute For New Technologies,"Education, Child Welfare, and Youth",109
-73.963189,40.806369,Columbia Branch Library,Libraries and Cultural Programs,109
-73.961835,40.808222,Columbia University Little Lions Camp,"Education, Child Welfare, and Youth",109
-73.956747,40.814388,Community Film Workshop Council,Libraries and Cultural Programs,109
-73.966576,40.805679,Bank Street College Of Education,"Education, Child Welfare, and Youth",109
-73.956093,40.814484,St Mary's Center ADHCP,Health and Human Services,109
-73.961134,40.81909,W. 125th Street Esplanade,"Parks, Gardens, and Historical Sites",109
-73.942087,40.829619,Harris Garden,"Parks, Gardens, and Historical Sites",109
-73.952175,40.814976,P.S. 129 John H. Finley,"Education, Child Welfare, and Youth",109
-73.942075,40.826556,Edgecombe Park,"Parks, Gardens, and Historical Sites",109
-73.946922,40.82539,"Upper Manhattan Mental Health Center, Inc.","Education, Child Welfare, and Youth",109
-73.963943,40.809136,Oxbridge Academic Programs/New York College Experience,"Education, Child Welfare, and Youth",109
-73.954984,40.815103,Sheltering Arms Pool,"Education, Child Welfare, and Youth",109
-73.955555,40.81547,District Five Academy,"Education, Child Welfare, and Youth",109
-73.963726,40.810818,World Science Foundation,Libraries and Cultural Programs,109
-73.953395,40.814279,Convent Avenue Family Living,"Education, Child Welfare, and Youth",109
-73.946922,40.82539,Uptown Parking Corp.,Core Infrastructure and Transportation,109
-73.94716,40.825521,Upper Manhattan Mental Health Center,"Education, Child Welfare, and Youth",109
-73.9621,40.81144,Union Theological Seminary,"Parks, Gardens, and Historical Sites",109
-73.956374,40.811905,Grant,Health and Human Services,109
-73.956539,40.814686,N.Y.C.P.D. 26th Precinct,"Public Safety, Emergency Services, and Administration of Justice",109
-73.947346,40.829058,City Tabernacle SDA Church,Health and Human Services,109
-73.956097,40.810789,Kipp Star College Prep Middle School,"Education, Child Welfare, and Youth",109
-73.95209,40.818287,Annunciation Playground,"Parks, Gardens, and Historical Sites",109
-73.942285,40.82627,Sugar Hill Garden,"Parks, Gardens, and Historical Sites",109
-73.953495,40.816213,Success Academy Charter-Harlem 6,"Education, Child Welfare, and Youth",109
-73.954251,40.812882,A & P Parking Corp.,Core Infrastructure and Transportation,109
-73.951499,40.818391,"Aaron Davis Hall, Inc.",Libraries and Cultural Programs,109
-73.948688,40.825444,LSSMNY : Early Life Childrens Center 14,"Education, Child Welfare, and Youth",109
-73.9639,40.808022,116th Street-Columbia University Subway Station (IRT),"Parks, Gardens, and Historical Sites",109
-73.964528,40.805159,ID Studio Theater Performance and Research Center,Libraries and Cultural Programs,109
-73.944049,40.828122,"150th Parking Leasehold, LLC",Core Infrastructure and Transportation,109
-73.945266,40.824535,Delta,Health and Human Services,109
-73.960371,40.806259,Columbia Greenhouse Nursery School,"Education, Child Welfare, and Youth",109
-73.944231,40.830211,Ctr Pre School Family Learning,"Education, Child Welfare, and Youth",109
-73.958326,40.814562,Grant,Health and Human Services,109
-73.945459,40.829516,"New York African Chorus Ensemble, Inc.",Libraries and Cultural Programs,109
-73.944853,40.832137,Discovery Room Intercession,"Education, Child Welfare, and Youth",109
-73.958873,40.821232,Ft. Washington Park Addition,Core Infrastructure and Transportation,109
-73.954222,40.82143,Vbs Broadway Baptist Church,"Education, Child Welfare, and Youth",109
-73.962939,40.812047,Riverside Church Week Day School,"Education, Child Welfare, and Youth",109
-73.959185,40.815698,"Take Wing and Soar Productions, Inc.",Libraries and Cultural Programs,109
