X,Y,facname,facdomain,borocd
-73.947781,40.808447,VNSNY Home Care II Shelter ACT- New York,Health and Human Services,110
-73.949445,40.813906,Sp Plus Corporation,Core Infrastructure and Transportation,110
-73.946626,40.815837,Off Street Parking For 32pct,Administration of Government,110
-73.944882,40.814298,On-Site Rehabilitation/TLC,Health and Human Services,110
-73.940033,40.817626,"Central Harlem Senior Citizens' Coalition, Inc.",Health and Human Services,110
-73.947406,40.808112,St Nicholas Job Center,Administration of Government,110
-73.941643,40.819614,St. Charles Borromeo Church,Health and Human Services,110
-73.948928,40.808753,Ongoing Integrated Supported Employment Services,Health and Human Services,110
-73.944113,40.807881,W. Harlem Brownstones,Health and Human Services,110
-73.948585,40.8094,Manhattan HS Suspension Office,Administration of Government,110
-73.947052,40.812012,Salem United Methodist Church,Health and Human Services,110
-73.946006,40.818975,Global Artists Coalition Incorporated,Libraries and Cultural Programs,110
-73.948074,40.804936,Mt. Olivet Baptist Church Community  Meals Program,Health and Human Services,110
-73.949614,40.804409,Mt.Pleasant Christian Aca.Ax,"Education, Child Welfare, and Youth",110
-73.934899,40.816973,Global Community Charter School,"Education, Child Welfare, and Youth",110
-73.939287,40.815546,Salvation Army Harlem Temple Corps,Health and Human Services,110
-73.948523,40.807157,W. Harlem Brownstones,Health and Human Services,110
-73.946873,40.802294,The Children's Aid Society,Health and Human Services,110
-73.943422,40.812804,New Way,"Education, Child Welfare, and Youth",110
-73.941487,40.816643,Abyssinian Baptist Church,Health and Human Services,110
-73.940805,40.821262,P.S. 194 Countee Cullen,"Education, Child Welfare, and Youth",110
-73.937164,40.819599,Frederick Samuels (2),"Education, Child Welfare, and Youth",110
-73.947577,40.81328,NYCHA-St. Nicholas,"Education, Child Welfare, and Youth",110
-73.948066,40.803154,Good News Evangelical,"Education, Child Welfare, and Youth",110
-73.953277,40.809532,Hancock Park,"Parks, Gardens, and Historical Sites",110
-73.936995,40.818812,Minisink Town House,"Education, Child Welfare, and Youth",110
-73.93686,40.815138,"Park 139th, LLC",Core Infrastructure and Transportation,110
-73.947446,40.799904,King Towers,"Education, Child Welfare, and Youth",110
-73.941823,40.820855,"Eng 69, Lad 28, Bat 16","Public Safety, Emergency Services, and Administration of Justice",110
-73.953136,40.807044,New Song Comm. Church,"Education, Child Welfare, and Youth",110
-73.946218,40.806248,Great Tomorrows Usa School,"Education, Child Welfare, and Youth",110
-73.935591,40.828144,Outdoor Storage,Administration of Government,110
-73.953153,40.803176,First Corinthian Baptist Church,"Education, Child Welfare, and Youth",110
-73.949728,40.798464,Harlem Link Charter School Pre - Kindergarten,"Education, Child Welfare, and Youth",110
-73.948875,40.808756,Bronx Charter Sch For Excellence 5,"Education, Child Welfare, and Youth",110
-73.939287,40.815546,Salvation Army Harlem Temple,Health and Human Services,110
-73.95494,40.806357,444 Manhattan Parking Corp.,Core Infrastructure and Transportation,110
-73.94563,40.805041,Community Life Center 2,"Education, Child Welfare, and Youth",110
-73.937293,40.82528,Bill Bojangles Robinson Playground,"Parks, Gardens, and Historical Sites",110
-73.9433,40.817851,"Cook, Will Marion, House","Parks, Gardens, and Historical Sites",110
-73.955829,40.807727,P.S. 180 Hugo Newman,"Education, Child Welfare, and Youth",110
-73.942815,40.813805,Parks Council Success Garden,"Parks, Gardens, and Historical Sites",110
-73.945704,40.820582,City Owned Property,Administration of Government,110
-73.947419,40.809215,Manhattan PC - HHCM,Health and Human Services,110
-73.952151,40.806609,W. Harlem Brownstones,Health and Human Services,110
-73.944466,40.820175,Graham Windham Community Schools At P.S. 123 Mahalia Jackson,Health and Human Services,110
-73.946802,40.807668,Teen START,Health and Human Services,110
-73.937332,40.831077,Polo Grounds Towers,Health and Human Services,110
-73.939326,40.827666,Bradhurst Ave Garden,"Parks, Gardens, and Historical Sites",110
-73.942905,40.814769,Harlem YMCA Kinder Camp,"Education, Child Welfare, and Youth",110
-73.942788,40.815214,Jackie Robinson Youth Center,"Education, Child Welfare, and Youth",110
-73.9446,40.815452,"Mills, Florence, House","Parks, Gardens, and Historical Sites",110
-73.948047,40.806951,W. Harlem Brownstones,Health and Human Services,110
-73.94205,40.816711,Summer Fun At Harlem Teams,"Education, Child Welfare, and Youth",110
-73.948151,40.802666,Harlem Children's Zone,"Education, Child Welfare, and Youth",110
-73.948928,40.808753,The Children's Village,Health and Human Services,110
-73.945854,40.814944,St. Hope Leadership Academy Charter School,"Education, Child Welfare, and Youth",110
-73.9382,40.825725,"Henson, Matthew, Residence","Parks, Gardens, and Historical Sites",110
