X,Y,facname,facdomain,borocd
-73.929411,40.71099,Bkn01g,Core Infrastructure and Transportation,301
-73.950734,40.70623,"Eng 216,Lad 108,Bat. 35","Public Safety, Emergency Services, and Administration of Justice",301
-73.952339,40.717361,North 10th & Union Ave Plaza,"Parks, Gardens, and Historical Sites",301
-73.948962,40.717562,Frost Street Plaza,"Parks, Gardens, and Historical Sites",301
-73.940923,40.703566,Humboldt Plaza,"Parks, Gardens, and Historical Sites",301
-73.952375,40.716535,Queen Of The Rosary Catholic Academy,"Education, Child Welfare, and Youth",301
-73.931904,40.705319,Eng 237,"Public Safety, Emergency Services, and Administration of Justice",301
-73.945244,40.707627,Act of Faith Ministries,Health and Human Services,301
-73.941533,40.701411,Health  Home Care Management C&Y,Health and Human Services,301
-73.948025,40.719672,Greenpoint Beacon Center,"Education, Child Welfare, and Youth",301
-73.963131,40.72028,2 North 6th Parking Corp,Core Infrastructure and Transportation,301
-73.94993,40.704255,"Knights Collision Experts, Inc.",Core Infrastructure and Transportation,301
-73.936274,40.713991,"All About Automotive II, Inc.",Core Infrastructure and Transportation,301
-73.96342,40.721569,City Owned Property,Administration of Government,301
-73.963171,40.705331,Independence Towers,"Education, Child Welfare, and Youth",301
-73.960987,40.700166,Ujo Of Williamsburg,Health and Human Services,301
-73.96086,40.72308,City Owned Property,Administration of Government,301
-73.950886,40.700855,Hychel Hatorah,"Education, Child Welfare, and Youth",301
-73.950049,40.706287,Asociaciones Dominicanas Inc,"Education, Child Welfare, and Youth",301
-73.936274,40.713991,"All American Autobody, Inc",Core Infrastructure and Transportation,301
-73.953226,40.726702,94th Police Precinct,"Public Safety, Emergency Services, and Administration of Justice",301
-73.961984,40.707329,Yeshiva Bnos Ahavas Israel,"Education, Child Welfare, and Youth",301
-73.956494,40.701744,Congregation Yetev Lev Dsatmar,Health and Human Services,301
-73.946508,40.700799,Bartlett Playground Addition,"Parks, Gardens, and Historical Sites",301
-73.941853,40.719912,St. Cecilia's Gift of Love Food Pantry,Health and Human Services,301
-73.937939,40.717532,Cooper Houses Housing Authority,"Education, Child Welfare, and Youth",301
-73.942029,40.723657,PS 110 & Playground,"Parks, Gardens, and Historical Sites",301
-73.929524,40.71209,Brooklyn North Salt Shed,Administration of Government,301
-73.960854,40.700762,Penn Triangle,"Parks, Gardens, and Historical Sites",301
-73.954971,40.729196,Greenpoint Reformed Church,Health and Human Services,301
-73.933881,40.725511,Brooklyn Processing Inc.,Core Infrastructure and Transportation,301
-73.925693,40.707055,Universal Scrap Processors Corp.,Core Infrastructure and Transportation,301
-73.959166,40.702039,Yeshivath Kehilath Yakov Swing Space,"Education, Child Welfare, and Youth",301
-73.943085,40.709173,Jewish Association For Services For The Aged,Health and Human Services,301
-73.957687,40.711951,Bushwick United Day Care Center,"Education, Child Welfare, and Youth",301
-73.962345,40.701757,Beth Rachel School For Girls,"Education, Child Welfare, and Youth",301
-73.948025,40.719672,John Ericsson Middle School 126,"Education, Child Welfare, and Youth",301
-73.969909,40.709333,City Owned Property,Administration of Government,301
-73.955887,40.720593,"Lm North 12th Garage, LLC",Core Infrastructure and Transportation,301
-73.963017,40.7138,"Avant Media Performance, Inc.",Libraries and Cultural Programs,301
-73.952816,40.711613,Two By Two Child Care,"Education, Child Welfare, and Youth",301
-73.961081,40.699221,Classon Triangle,"Parks, Gardens, and Historical Sites",301
-73.948025,40.719672,Citizens Of The World Charter School 1 Williamsburg,"Education, Child Welfare, and Youth",301
-73.957051,40.714149,Ems Station 35,"Public Safety, Emergency Services, and Administration of Justice",301
-73.946678,40.716671,C.A.M.P. Creative Art And Music Programs,"Education, Child Welfare, and Youth",301
-73.925416,40.715959,Empire  Metal Trading LLC,Core Infrastructure and Transportation,301
-73.968597,40.71145,City Owned Property,Administration of Government,301
-73.959035,40.698924,Yeshiva Bnos Israel,"Education, Child Welfare, and Youth",301
-73.959753,40.706966,Life Childhood Center,"Education, Child Welfare, and Youth",301
-73.960616,40.708131,Williams Plaza,Health and Human Services,301
-73.957427,40.708818,Marcy Green South,"Parks, Gardens, and Historical Sites",301
-73.962272,40.701291,"Eng 211, Lad 119, Bfi","Public Safety, Emergency Services, and Administration of Justice",301
-73.9614,40.712782,"Brooklyn D C, Williamsburg Unit","Education, Child Welfare, and Youth",301
-73.944402,40.735538,Kingsland Ave-Warehouse,Administration of Government,301
-73.955536,40.705646,El Puente Academy For Peace And Justice,"Education, Child Welfare, and Youth",301
-73.932984,40.725718,Brooklyn Processing Inc.,Core Infrastructure and Transportation,301
-73.958556,40.716216,Williamsburg Northside Preschool,"Education, Child Welfare, and Youth",301
-73.953878,40.709632,P.S. 319,"Education, Child Welfare, and Youth",301
-73.961985,40.705924,P.S. 016 Leonard Dunkly,"Education, Child Welfare, and Youth",301
-73.954278,40.732062,Outreach Development Corporation OP,Health and Human Services,301
-73.958709,40.699706,"ODA Primary Health Care Network, Inc",Health and Human Services,301
-73.943972,40.709175,Williamsburg,"Education, Child Welfare, and Youth",301
-73.963472,40.718044,Bright Horizons Children's Center LLC.,"Education, Child Welfare, and Youth",301
-73.95648,40.702129,City Owned Property,Administration of Government,301
-73.953878,40.709632,PS 319-Wmsbgh Ecc #1,"Education, Child Welfare, and Youth",301
-73.94372,40.701186,GED Plus-Opp For Btr Tomorrow2-Ahsep,"Education, Child Welfare, and Youth",301
-73.958816,40.731427,Java Garden,"Parks, Gardens, and Historical Sites",301
-73.955916,40.709724,Rodney Park South,"Parks, Gardens, and Historical Sites",301
-73.94345,40.71554,Ahrc Francis Of Paola ELC,"Education, Child Welfare, and Youth",301
-73.961266,40.706572,PS 16 Playground (Jop),"Parks, Gardens, and Historical Sites",301
-73.936274,40.713991,S & P Towing Inc,Core Infrastructure and Transportation,301
-73.953024,40.702277,PS K141 At PS 380,"Education, Child Welfare, and Youth",301
