X,Y,facname,facdomain,borocd
-73.903095,40.676867,Calvary Free Will Baptist Church,Health and Human Services,305
-73.890204,40.667413,Dr. Martin Luther King Jr Park,"Parks, Gardens, and Historical Sites",305
-73.896943,40.67449,Cornerstone SDA Church,Health and Human Services,305
-73.892679,40.654849,L & M Bus Corp. (B2192),Core Infrastructure and Transportation,305
-73.874726,40.683713,Blessed Sacrament Church,Health and Human Services,305
-73.891977,40.655617,L & M Bus Corp (A),Core Infrastructure and Transportation,305
-73.882093,40.671159,Pagan's Garden,"Parks, Gardens, and Historical Sites",305
-73.898529,40.678331,E.N.Y. Bus Depot Parking Area,Core Infrastructure and Transportation,305
-73.880837,40.663501,Linden Center for Nursing and Rehabilitation,Health and Human Services,305
-73.873688,40.683946,Success Academy Charter Sch-NYC 14,"Education, Child Welfare, and Youth",305
-73.877248,40.683395,Public School 65K,"Parks, Gardens, and Historical Sites",305
-73.892027,40.680525,Van Siclen Family Residence,Health and Human Services,305
-73.872204,40.675112,484 Euclid LLC,Core Infrastructure and Transportation,305
-73.890807,40.673781,East End Community Garden,"Parks, Gardens, and Historical Sites",305
-73.875995,40.661064,Crown Ministry,Health and Human Services,305
-73.896943,40.67449,Cornerstone Sda Church,"Education, Child Welfare, and Youth",305
-73.884214,40.6694,Van Dyke Community Center,Health and Human Services,305
-73.870297,40.660928,Bkn05g,Core Infrastructure and Transportation,305
-73.885921,40.672591,Gregory's Garden,"Parks, Gardens, and Historical Sites",305
-73.882955,40.645929,Be'Er Hagolah Institute,"Education, Child Welfare, and Youth",305
-73.90056,40.672731,TLC Sculpture Park.Garden,"Parks, Gardens, and Historical Sites",305
-73.880463,40.671892,75th Precinct Parking,Administration of Government,305
-73.892679,40.654849,Leesel Transp Corp (B2192),Core Infrastructure and Transportation,305
-73.883839,40.676946,IS 302 & Playground,"Parks, Gardens, and Historical Sites",305
-73.884171,40.675806,Las Maravillas Del Exodo,Health and Human Services,305
-73.897632,40.665554,Brooklyn Gardens Elementary School,"Education, Child Welfare, and Youth",305
-73.86956,40.667566,Brookdale Family Care Center Inc,Health and Human Services,305
-73.894984,40.659047,Church Of God Prophecy,"Education, Child Welfare, and Youth",305
-73.874968,40.659952,Metropolitan Paper Recycling Inc (992 Essex),Core Infrastructure and Transportation,305
-73.890042,40.654138,Brooklyn 16 Sanitation Garage,Administration of Government,305
-73.878522,40.673796,Atkins Gardeners,"Parks, Gardens, and Historical Sites",305
-73.877248,40.683395,PS 65,"Education, Child Welfare, and Youth",305
-73.882694,40.684846,407 PS 7 Annex Atymca,"Education, Child Welfare, and Youth",305
-73.868988,40.657817,IS 364 Gateway Annex,"Education, Child Welfare, and Youth",305
-73.886484,40.655227,PS 306 & Playground,"Parks, Gardens, and Historical Sites",305
-73.869441,40.685879,I.S. 171 Abraham Lincoln,"Education, Child Welfare, and Youth",305
-73.888685,40.656981,PS 306 Ax,"Education, Child Welfare, and Youth",305
-73.882031,40.648678,Starrett Early Learning Center,"Education, Child Welfare, and Youth",305
-73.893277,40.663882,Achievement First East New York Charter School,"Education, Child Welfare, and Youth",305
-73.86956,40.667566,Field Office,Administration of Government,305
-73.86864,40.661809,"M.A.P. Towing And Recovery, Inc.",Core Infrastructure and Transportation,305
-73.879964,40.647893,IS 364 Gym,"Education, Child Welfare, and Youth",305
-73.891311,40.680803,Universal Dental Auxiliary Academy,"Education, Child Welfare, and Youth",305
-73.897632,40.665554,PS 174,"Parks, Gardens, and Historical Sites",305
-73.891205,40.662875,The Brooklyn Tenant Rights Coalition Office,Health and Human Services,305
-73.89643,40.674135,W. H. Maxwell Career And Technical Education High School (K6,"Education, Child Welfare, and Youth",305
-73.897835,40.668167,P.S./I.S. 328 Phillis Wheatley,"Education, Child Welfare, and Youth",305
-73.901574,40.672166,E Bklyn Indust'L Park-Site 22,Administration of Government,305
-73.8763,40.666102,PS 202,"Education, Child Welfare, and Youth",305
-73.874038,40.657302,Academy For Young Writers,"Education, Child Welfare, and Youth",305
-73.878117,40.672188,Urban Strategies 1,"Education, Child Welfare, and Youth",305
-73.88281,40.678837,High Class Auto Body & Repair Shop Inc.,Core Infrastructure and Transportation,305
-73.892419,40.674473,Class A Cars,Core Infrastructure and Transportation,305
-73.878074,40.677336,Friends Of Crown Heights #18,"Education, Child Welfare, and Youth",305
-73.897073,40.6641,St Martin De Porres Clinic,Health and Human Services,305
-73.8763,40.666102,Positive Community Images Inc.,"Education, Child Welfare, and Youth",305
-73.90038,40.667818,Help 1,"Education, Child Welfare, and Youth",305
-73.883433,40.677104,P.S./I.S. 89 Cypress Hills Com,"Education, Child Welfare, and Youth",305
