X,Y,facname,facdomain,borocd
-74.003865,40.626844,Ahrc Middle/High School,"Education, Child Welfare, and Youth",310
-74.026778,40.636185,Gateway City Academy,"Education, Child Welfare, and Youth",310
-74.02566,40.621684,Bay Ridge Municipal Garage,Core Infrastructure and Transportation,310
-74.028216,40.621441,"C21 Parking Mgmt, LLC",Core Infrastructure and Transportation,310
-74.020397,40.624085,City Owned Property,Administration of Government,310
-74.015959,40.63334,Leif Ericson Park,"Parks, Gardens, and Historical Sites",310
-74.01574,40.62566,St. Ephraim School,"Education, Child Welfare, and Youth",310
-74.029919,40.607428,"Casemate Fort, Whiting Quadrangle","Parks, Gardens, and Historical Sites",310
-74.03874,40.632068,John Paul Jones Park,"Parks, Gardens, and Historical Sites",310
-74.021589,40.622803,Dan Ross Playground,"Parks, Gardens, and Historical Sites",310
-74.014427,40.630504,"Worldtots, LLC","Education, Child Welfare, and Youth",310
-74.028553,40.62867,"Tutor Time Learning Centers, LLC.","Education, Child Welfare, and Youth",310
-74.024564,40.614613,Poly Prep Country Day School,"Education, Child Welfare, and Youth",310
-74.010012,40.630406,DCI-Narrows Kidney Center,Health and Human Services,310
-74.008474,40.618904,Dyker Heights Counseling Center,Health and Human Services,310
-74.030657,40.615181,Yai/N.Y.L. William O'Connor Bay Ridge School,"Education, Child Welfare, and Youth",310
-74.005964,40.618658,Lefferts Park Bible School,"Education, Child Welfare, and Youth",310
-74.018795,40.630427,Ralph A. Fabrizio School,"Education, Child Welfare, and Youth",310
-74.011275,40.6155,Saint Bernadette School,"Education, Child Welfare, and Youth",310
-74.020464,40.621418,One Stop 86 St. Inc.,Core Infrastructure and Transportation,310
-74.028946,40.634318,PS 102 & Playground,"Parks, Gardens, and Historical Sites",310
-74.025539,40.639092,Leif Ericson Drive Park,"Parks, Gardens, and Historical Sites",310
-74.033031,40.642439,Owls Head Wpcp,Core Infrastructure and Transportation,310
-74.032172,40.623977,Stepping Stones,"Education, Child Welfare, and Youth",310
-74.019256,40.620345,Redeemer-St. John's Nursery School,"Education, Child Welfare, and Youth",310
-74.03203,40.627437,T.E.A.C.H.-Early Advantage,"Education, Child Welfare, and Youth",310
-74.013438,40.634574,MJHS Home Care,Health and Human Services,310
-74.040698,40.625716,Dyker Park Playhouse,"Education, Child Welfare, and Youth",310
-74.022875,40.632963,Lutheran Elementary School Of Bay Ridge,"Education, Child Welfare, and Youth",310
-74.013284,40.618765,J.H.S. 201 The Dyker Heights,"Education, Child Welfare, and Youth",310
-74.035897,40.621288,Brooklyn Archdiocese,"Education, Child Welfare, and Youth",310
-74.018991,40.620833,IS 68,"Education, Child Welfare, and Youth",310
-74.027256,40.620751,Fort Hamilton Clinic,Health and Human Services,310
-74.008137,40.620359,Little Hands And Feet School,"Education, Child Welfare, and Youth",310
-74.002789,40.626389,Pre - K Center At 1258 65th Street,"Education, Child Welfare, and Youth",310
-74.035897,40.621288,Visitation Academy,"Education, Child Welfare, and Youth",310
-74.023365,40.636699,USDA-CEO P371k At Telecommunications,"Education, Child Welfare, and Youth",310
-74.025629,40.631907,Treasure Island,"Education, Child Welfare, and Youth",310
-74.025137,40.638154,"Eng 241, Lad 109","Public Safety, Emergency Services, and Administration of Justice",310
-74.031652,40.611821,John J Carty Park,"Education, Child Welfare, and Youth",310
-74.003552,40.62404,T.Z. Brothers General Contractors Inc.,Core Infrastructure and Transportation,310
-74.024225,40.630516,"Manual Therapy Center, Inc.","Education, Child Welfare, and Youth",310
-74.007056,40.627853,"NIA Community Services Network, Inc.",Libraries and Cultural Programs,310
-74.030869,40.619871,Bunny Hill Preschool,"Education, Child Welfare, and Youth",310
-74.022832,40.620995,Smart Set,"Education, Child Welfare, and Youth",310
-74.028623,40.618006,P.S. K053,"Education, Child Welfare, and Youth",310
-74.014778,40.626213,J.H.S. 259 William Mckinley,"Education, Child Welfare, and Youth",310
-74.00394,40.627874,Supertndt Office (Old Annex),Administration of Government,310
-74.022856,40.6209,Park,"Parks, Gardens, and Historical Sites",310
-74.029722,40.634698,Step Ahead Day Care Center,"Education, Child Welfare, and Youth",310
-74.0244,40.624463,Comm Bd 10,Administration of Government,310
-74.023731,40.631563,Camp Olympia At PS 102,"Education, Child Welfare, and Youth",310
-74.02566,40.621684,Bay Ridge Municipal Garage,Administration of Government,310
-74.023554,40.620195,Former Sanit Section Station,Administration of Government,310
-74.020374,40.622207,Coffey Square/Park Strip,"Parks, Gardens, and Historical Sites",310
-74.023365,40.636699,High School Of Telecommunication Arts And Technology,"Education, Child Welfare, and Youth",310
-74.012653,40.613834,City Owned Property,Administration of Government,310
-74.027011,40.617058,"C&S E-Superette, Inc.",Core Infrastructure and Transportation,310
-74.039362,40.627177,Fort Hamilton High School,"Education, Child Welfare, and Youth",310
-74.00507,40.624781,P.S. 176 Ovington,"Education, Child Welfare, and Youth",310
-74.013438,40.634574,Metropolitan Jewish Long Term Home Care,Health and Human Services,310
-74.008174,40.6297,"Okie Dokie, Inc.","Education, Child Welfare, and Youth",310
-74.026182,40.63236,CCNS-Our Lady of Angels Human Services,Health and Human Services,310
-74.032608,40.616301,City Owned Property,Administration of Government,310
-74.023314,40.633699,Bay Ridge Community Service Center,Health and Human Services,310
-74.008616,40.619517,"Thursday's Child, Inc.","Education, Child Welfare, and Youth",310
-74.013284,40.618765,Patrick O'Rourke Playground,"Parks, Gardens, and Historical Sites",310
-74.016999,40.634682,First Evangelical Free Church Summer,"Education, Child Welfare, and Youth",310
-74.029582,40.618631,Verrazano Service Inc.,Core Infrastructure and Transportation,310
-74.028576,40.620411,USDA-CEO P231k At PS 264,"Education, Child Welfare, and Youth",310
-74.032979,40.624531,Park Slope Day Camp,"Education, Child Welfare, and Youth",310
-74.015532,40.625899,St Ephrem School,"Education, Child Welfare, and Youth",310
-74.020619,40.621705,City Owned Property,Administration of Government,310
-74.026325,40.632097,Treasure Island,"Education, Child Welfare, and Youth",310
-74.023034,40.633715,PS/IS 30 Annex,"Education, Child Welfare, and Youth",310
-74.032803,40.624114,Adelphi Academy,"Education, Child Welfare, and Youth",310
-74.022875,40.632963,Scandinavian East Coast Museum,Libraries and Cultural Programs,310
-74.027112,40.614135,Park,"Parks, Gardens, and Historical Sites",310
-74.030765,40.62497,61st Street Play Street Pal,"Education, Child Welfare, and Youth",310
-74.030955,40.615331,St Patrick Catholic Academy,"Education, Child Welfare, and Youth",310
-74.035656,40.618661,Stepping Stones-The Next Step,"Education, Child Welfare, and Youth",310
-74.016732,40.626562,McKinley Park,"Parks, Gardens, and Historical Sites",310
-74.031652,40.611821,John J Carty Park,"Parks, Gardens, and Historical Sites",310
-74.039362,40.627177,Russell Pedersen Playground,"Parks, Gardens, and Historical Sites",310
-74.014135,40.635183,Bay Ridge Christian Academy,"Education, Child Welfare, and Youth",310
-74.030983,40.619927,Bunny Hill,"Education, Child Welfare, and Youth",310
-74.022594,40.621916,Tom McDonald Triangle,"Parks, Gardens, and Historical Sites",310
-73.998162,40.62609,Hebrew Academy/Special Children,"Education, Child Welfare, and Youth",310
-74.020399,40.622163,Park,"Parks, Gardens, and Historical Sites",310
-74.018795,40.630427,Ralph A. Fabrizio School Annex,"Education, Child Welfare, and Youth",310
-74.026325,40.632097,Holy Angels Catholic Academy,"Education, Child Welfare, and Youth",310
-74.015098,40.626694,IS 259,"Education, Child Welfare, and Youth",310
-74.019154,40.620445,Redeemer St. John's Nursery School,"Education, Child Welfare, and Youth",310
-74.024768,40.62356,20/20 Vision for Schools,Libraries and Cultural Programs,310
-74.022261,40.605292,Taylor Field At Fort Hamilton,Core Infrastructure and Transportation,310
-74.005964,40.618658,Lpbc Day Care,"Education, Child Welfare, and Youth",310
-74.034689,40.636689,"Emerald Institute Of New York, Inc.","Education, Child Welfare, and Youth",310
-74.018795,40.630427,PS 170 & Playground,"Parks, Gardens, and Historical Sites",310
-74.028996,40.620433,Fort Hamiltion (Ecc),"Education, Child Welfare, and Youth",310
-74.003865,40.626844,Chinese Enrichment Program,"Education, Child Welfare, and Youth",310
-74.017895,40.630667,"Stewart Avenue""""",Administration of Government,310
-74.029537,40.633625,Bay Ridge,Libraries and Cultural Programs,310
-74.026213,40.626765,Our Savior Evan Lutheran Pre,"Education, Child Welfare, and Youth",310
-74.007545,40.632148,The School For Future Leaders,"Education, Child Welfare, and Youth",310
-74.005397,40.622581,Ring Around The Rosie Preschool,Health and Human Services,310
-74.018795,40.630427,Camba Kids Unite Summer Camp,"Education, Child Welfare, and Youth",310
-74.022832,40.620995,Smart Start ECC,"Education, Child Welfare, and Youth",310
-74.003334,40.625118,Norwegian Christian Home and Health Center,Health and Human Services,310
-74.011831,40.633901,Maimonides Cancer Center,Health and Human Services,310
-74.023365,40.636699,P.S. 371 - Lillian L. Rashkis,"Education, Child Welfare, and Youth",310
-74.014778,40.626213,Mckinley Beacon,"Education, Child Welfare, and Youth",310
-74.039362,40.627177,Fort Hamilton Athletic Field,"Parks, Gardens, and Historical Sites",310
-74.028576,40.620411,P.S./I.S. 104 The Fort Hamilton School,"Education, Child Welfare, and Youth",310
-74.026623,40.636476,Guild For Exceptional Children,Health and Human Services,310
-74.036618,40.629339,Ridge Chorale Inc.,Libraries and Cultural Programs,310
-74.011085,40.625586,Leif Ericson Day School,"Education, Child Welfare, and Youth",310
-74.018826,40.624132,P.S. 127 Mckinley Park School,"Education, Child Welfare, and Youth",310
-74.010511,40.631731,Maimonides Rehabilitation Services,Health and Human Services,310
-74.00507,40.624781,PS 176,"Education, Child Welfare, and Youth",310
-74.014135,40.635183,World Harvest Community Center,"Education, Child Welfare, and Youth",310
-74.039362,40.627177,Fort Hamilton High School,"Education, Child Welfare, and Youth",310
-74.02439,40.633568,P.S. K231,"Education, Child Welfare, and Youth",310
-74.01913,40.630843,P.S. 170 Lexington School,"Education, Child Welfare, and Youth",310
-74.021469,40.616886,Dyker Beach Park,"Parks, Gardens, and Historical Sites",310
-74.014125,40.634954,World Harvest Community Center,"Education, Child Welfare, and Youth",310
-74.026325,40.632097,Brooklyn Archdiocese /Holy Angels Catholic Academy,"Education, Child Welfare, and Youth",310
-74.029036,40.63402,P.S. 102 Bay View School,"Education, Child Welfare, and Youth",310
-74.015987,40.617541,Saitta House,"Parks, Gardens, and Historical Sites",310
-74.021705,40.638662,Park,"Parks, Gardens, and Historical Sites",310
-74.03055,40.63737,City Owned Property,Administration of Government,310
-74.02439,40.633568,Bay Ridge United Methodist Church,"Parks, Gardens, and Historical Sites",310
-74.026778,40.636185,Gateway City Academy,"Education, Child Welfare, and Youth",310
-74.00507,40.624781,PS 176 & Playground,"Parks, Gardens, and Historical Sites",310
-74.018826,40.624132,P.S. 127 Mckinley Park School,"Education, Child Welfare, and Youth",310
-74.013496,40.63268,Leif Ericson Playground,"Parks, Gardens, and Historical Sites",310
-74.019076,40.620241,Redeemer-St. John's Nursery School,"Education, Child Welfare, and Youth",310
-74.021259,40.632163,Arab American Association Of New York,"Education, Child Welfare, and Youth",310
-74.005462,40.62255,Ring Around The Rosie,"Education, Child Welfare, and Youth",310
-74.037051,40.625764,Shore Park and Parkway,"Parks, Gardens, and Historical Sites",310
-74.008201,40.632517,Wah Chang Metal Trading Inc.,Core Infrastructure and Transportation,310
-74.013499,40.633916,Brooklyn Community Dialysis,Health and Human Services,310
-74.028623,40.618006,P.S./I.S. 104 The Fort Hamilton School,"Education, Child Welfare, and Youth",310
-74.030765,40.62497,NYC Parks-Dyker Beach Park,"Education, Child Welfare, and Youth",310
-74.032884,40.622553,"Tiny Tots Playhouse, LLC, The","Education, Child Welfare, and Youth",310
-74.022534,40.63899,N.Y.C.P.D. 68th Precinct,"Public Safety, Emergency Services, and Administration of Justice",310
