X,Y,facname,facdomain,borocd
-73.85694,40.662526,Q165 Spring Creek,"Parks, Gardens, and Historical Sites",410
-73.811274,40.665683,PS 124 & Playground,"Education, Child Welfare, and Youth",410
-73.841352,40.663491,Howard Beach Clinic,Health and Human Services,410
-73.846954,40.669532,Park Strip (Q433b),"Parks, Gardens, and Historical Sites",410
-73.811916,40.663675,Park,"Parks, Gardens, and Historical Sites",410
-73.812123,40.687324,Foster Care Aobh,"Education, Child Welfare, and Youth",410
-73.804989,40.669287,Aim High Leadership Academy,"Education, Child Welfare, and Youth",410
-73.811914,40.663716,Nassau Expressway,"Parks, Gardens, and Historical Sites",410
-73.816741,40.675172,Hawtree Creek Middle School,"Education, Child Welfare, and Youth",410
-73.812496,40.690082,"Talented Little Children III / TLC Spirit, LLC","Education, Child Welfare, and Youth",410
-73.820116,40.671189,City Owned Property,Administration of Government,410
-73.829568,40.655402,City Owned Property,Administration of Government,410
-73.816741,40.675172,IS 226 & Playground,"Parks, Gardens, and Historical Sites",410
-73.841799,40.663804,Queens Library-Howard Beach,"Education, Child Welfare, and Youth",410
-73.806891,40.664443,Jamaica Wpcp,Core Infrastructure and Transportation,410
-73.81267,40.690758,Talented Little Children III,"Education, Child Welfare, and Youth",410
-73.811701,40.665058,P.S./I.S. 124 Osmond A. Church,"Education, Child Welfare, and Youth",410
-73.843014,40.675731,Vip - Very Important People II Day Care Center,"Education, Child Welfare, and Youth",410
-73.824662,40.682654,Wonder World Day School Universal Pr,"Education, Child Welfare, and Youth",410
-73.817012,40.689289,Pent. Ch. Of Jesus Christ Vbs,"Education, Child Welfare, and Youth",410
-73.846647,40.647916,City Owned Property,Administration of Government,410
-73.834777,40.660521,P.S. 146 Howard Beach,"Education, Child Welfare, and Youth",410
-73.839613,40.678317,M.S. 137 America's School Of Heroes,"Education, Child Welfare, and Youth",410
-73.808148,40.674711,Al-Ihsan Academy,"Education, Child Welfare, and Youth",410
-73.840028,40.678407,Jhs 137,"Education, Child Welfare, and Youth",410
-73.8438,40.673627,"Cash 4 Cars Of Queens Towing, Inc.",Core Infrastructure and Transportation,410
-73.836918,40.678683,John Adams High School,Health and Human Services,410
-73.807164,40.667435,Po Edward Byrne Park,"Education, Child Welfare, and Youth",410
-73.836681,40.67502,85 Collision Corp,Core Infrastructure and Transportation,410
-73.848701,40.671659,Joseph P Addabbo Memorial Park,"Parks, Gardens, and Historical Sites",410
-73.837963,40.679327,John Adams High School,Health and Human Services,410
-73.83894,40.680676,85 Collision Concepts Inc.,Core Infrastructure and Transportation,410
-73.832832,40.657397,City Owned Property,Administration of Government,410
-73.826231,40.677488,Alliance 4 Christian Youth,"Education, Child Welfare, and Youth",410
-73.854426,40.671468,Gemini Fields,"Parks, Gardens, and Historical Sites",410
-73.825934,40.665747,Southern Parkway Ballfield,"Parks, Gardens, and Historical Sites",410
-73.843682,40.678765,Little Dolphin,"Education, Child Welfare, and Youth",410
-73.820671,40.681848,Well Station #3,Core Infrastructure and Transportation,410
-73.844014,40.657941,PS 207 & Playground (Jop),"Parks, Gardens, and Historical Sites",410
-73.846201,40.679216,Ez Waste Services Inc,Core Infrastructure and Transportation,410
-73.811274,40.665683,PS 124 & Playground,"Parks, Gardens, and Historical Sites",410
-73.829775,40.657664,Pollution Control Facility,Core Infrastructure and Transportation,410
-73.820604,40.676567,David J O'Connell Square,"Parks, Gardens, and Historical Sites",410
-73.814605,40.674393,South Ozone Park Sda,"Education, Child Welfare, and Youth",410
-73.847354,40.674597,City Owned Property,Administration of Government,410
-73.803296,40.669825,City Owned Property,Administration of Government,410
-73.834218,40.667706,M&T Auto Inc,Core Infrastructure and Transportation,410
-73.859648,40.658712,South Shore Residue Landfill,Administration of Government,410
-73.84413,40.658137,P.S. 207 Rockwood Park,"Education, Child Welfare, and Youth",410
-73.809932,40.665126,Qe12g,Core Infrastructure and Transportation,410
-73.855597,40.67449,"Szymanski, Thomas Stanley",Core Infrastructure and Transportation,410
-73.844412,40.672784,3e Towing Inc.,Core Infrastructure and Transportation,410
-73.858645,40.676189,City Owned Property,Administration of Government,410
-73.813262,40.675233,Tik Tac Tows Inc.,Core Infrastructure and Transportation,410
-73.821254,40.665478,Lefferts Playground,"Parks, Gardens, and Historical Sites",410
-73.811701,40.665058,P.S./I.S. 124 Osmond A. Church,"Education, Child Welfare, and Youth",410
-73.844761,40.679956,Lucky Charm Chinese Cooking School,"Education, Child Welfare, and Youth",410
-73.828104,40.650415,City Owned Property,Administration of Government,410
-73.84369,40.657423,Walter Ward Playground,"Parks, Gardens, and Historical Sites",410
-73.818715,40.665234,City Owned Property,Administration of Government,410
-73.849711,40.661541,Saint Helen Catholic Academy,Health and Human Services,410
-73.827314,40.686006,Safe Space Preventive,"Education, Child Welfare, and Youth",410
-73.805657,40.6749,Sergeant Colyer Square,"Parks, Gardens, and Historical Sites",410
-73.818109,40.664446,"123-10 South Conduit Associates, LLC",Core Infrastructure and Transportation,410
-73.846824,40.676918,P.S. 063 Old South,"Education, Child Welfare, and Youth",410
-73.831095,40.65334,Hawtree Basin Pedstrn Bridge,Administration of Government,410
-73.811701,40.665058,P.S./I.S. 124 Osmond A. Church,"Education, Child Welfare, and Youth",410
-73.841352,40.663491,Medisys Howard Beach Women&Children Care,Health and Human Services,410
-73.814406,40.690607,United Federation Of Hindu,"Education, Child Welfare, and Youth",410
-73.812033,40.674926,Our Lady's Catholic Academy,"Education, Child Welfare, and Youth",410
-73.840112,40.681406,"Us F1rst Towing & Recovery, Inc",Core Infrastructure and Transportation,410
-73.807673,40.679277,City Owned Property,Administration of Government,410
-73.840112,40.681406,Justin's Towing & Storage Inc,Core Infrastructure and Transportation,410
-73.804849,40.674855,Future Leaders Upk,"Education, Child Welfare, and Youth",410
-73.814605,40.674393,Frederick B Judge Playground,"Education, Child Welfare, and Youth",410
-73.837516,40.675733,City Owned Property,Administration of Government,410
-73.812522,40.675616,Ozone Towing II Inc.,Core Infrastructure and Transportation,410
-73.816419,40.663995,Aardwolf Parking LLC.,Core Infrastructure and Transportation,410
-73.861479,40.65704,Spring Creek Park,"Parks, Gardens, and Historical Sites",410
-73.83256,40.673083,Cfs 2907 Jfk LLC,Core Infrastructure and Transportation,410
-73.810174,40.665729,Propark America New York LLC,Core Infrastructure and Transportation,410
-73.821592,40.679779,P.S. 100 Glen Morris,"Education, Child Welfare, and Youth",410
-73.818821,40.680844,St Luke's United Presbyterian Church,"Education, Child Welfare, and Youth",410
-73.831024,40.679206,PS 108 & Playground,"Parks, Gardens, and Historical Sites",410
-73.830452,40.653605,Hamilton Beach-Parcel D,Administration of Government,410
-73.839042,40.670358,Centreville Playground,"Parks, Gardens, and Historical Sites",410
-73.816741,40.675172,Epic High School - South,"Education, Child Welfare, and Youth",410
-73.841513,40.682638,P.S. 65 - The Raymond York Elementary School,"Education, Child Welfare, and Youth",410
-73.832658,40.665046,City Owned Property,Administration of Government,410
-73.835389,40.677256,John Adams Highschool Plgd,"Parks, Gardens, and Historical Sites",410
-73.809932,40.665126,Queens 8/10/12 Sanit Garage,Administration of Government,410
-73.834777,40.660521,PS 146 Howard Beach,"Education, Child Welfare, and Youth",410
-73.815804,40.673872,City Owned Property,Administration of Government,410
-73.828359,40.653531,Hamilton Beach Fire Dept Acces,Administration of Government,410
-73.804849,40.674855,"Aim High Leadership Center, Three Inc","Education, Child Welfare, and Youth",410
-73.815525,40.683792,P.S. 121 Queens,"Education, Child Welfare, and Youth",410
-73.833058,40.661289,Ave Maria Catholic Academy,"Education, Child Welfare, and Youth",410
-73.833379,40.678361,Joseph P Addabbo Family Health Center,Health and Human Services,410
-73.85577,40.67352,Joseph P Addabbo Memorial Pk,"Parks, Gardens, and Historical Sites",410
-73.810464,40.673722,Water Storage Tank #28,Core Infrastructure and Transportation,410
-73.804379,40.674358,Al-Ihsan Academy,Health and Human Services,410
-73.850191,40.679681,South Richmond Hill Recovery OP,Health and Human Services,410
-73.845718,40.671005,Rocket Playground,"Parks, Gardens, and Historical Sites",410
-73.814518,40.69046,It's My Turn,"Education, Child Welfare, and Youth",410
-73.815525,40.683792,PS 121 & Playground,"Parks, Gardens, and Historical Sites",410
-73.833058,40.661289,Our Lady of Grace Ministry,Health and Human Services,410
-73.808131,40.675331,P.S. 096,"Education, Child Welfare, and Youth",410
-73.809478,40.665936,Cfs 2907 Jfk LLC,Core Infrastructure and Transportation,410
-73.844014,40.657941,P.S. 207 Rockwood Park,"Education, Child Welfare, and Youth",410
-73.850759,40.665689,P.S. 232 Lindenwood,"Education, Child Welfare, and Youth",410
-73.816741,40.675172,J.H.S. 226 Virgil I. Grissom,"Education, Child Welfare, and Youth",410
-73.8438,40.673627,Northside Auto Towing Inc.,Core Infrastructure and Transportation,410
-73.834938,40.683091,Ssaw,"Education, Child Welfare, and Youth",410
-73.846824,40.676918,P.S. 063 Old South,"Education, Child Welfare, and Youth",410
-73.840803,40.675088,Rochdale Village Freedom Camp,"Education, Child Welfare, and Youth",410
-73.816162,40.664995,Runway Towing Corp.,Core Infrastructure and Transportation,410
-73.828552,40.682583,UMC of Richmond Hill Food Pantry,Health and Human Services,410
-73.815525,40.683792,P.S. 121 Queens,"Education, Child Welfare, and Youth",410
-73.844595,40.66865,City Owned Property,Administration of Government,410
-73.816538,40.665129,Runway Towing Corp.,Core Infrastructure and Transportation,410
-73.8578,40.663367,Spring Creek Park Q165,"Parks, Gardens, and Historical Sites",410
-73.81267,40.690758,"TLC Spirit, LLC","Education, Child Welfare, and Youth",410
-73.810668,40.67582,Tow Force Machinery & Transport Inc.,Core Infrastructure and Transportation,410
-73.844042,40.667024,"CHEER Foundation, Inc.",Libraries and Cultural Programs,410
-73.820379,40.683294,City Owned Property,Administration of Government,410
-73.839613,40.678317,M.S. 137 America's School Of Heroes,"Education, Child Welfare, and Youth",410
-73.834103,40.665087,City Owned Property,Administration of Government,410
-73.808752,40.663917,Nassau Freeway,Core Infrastructure and Transportation,410
-73.836918,40.678683,John Adams High School,"Education, Child Welfare, and Youth",410
-73.846922,40.669539,Park,"Parks, Gardens, and Historical Sites",410
-73.816686,40.676123,Non-Am Caldwell House,"Education, Child Welfare, and Youth",410
-73.821256,40.665476,Lefferts Playground,"Parks, Gardens, and Historical Sites",410
-73.814324,40.682243,Playmates Nursery,"Education, Child Welfare, and Youth",410
-73.810181,40.679284,P.S. 155,"Education, Child Welfare, and Youth",410
-73.804379,40.674358,Al-Ishan Preschool,"Education, Child Welfare, and Youth",410
-73.836779,40.674514,Oz Towing & Recovery Inc,Core Infrastructure and Transportation,410
-73.828561,40.650347,Hamilton Avenue,Administration of Government,410
-73.850932,40.680089,"Uncle Neil's II, Inc.",Core Infrastructure and Transportation,410
-73.838187,40.668043,City Owned Property,Administration of Government,410
-73.842825,40.658065,Lower Highland NYC Playground,"Education, Child Welfare, and Youth",410
-73.809413,40.674878,City Owned Property,Administration of Government,410
-73.84568,40.673264,City Owned Property,Administration of Government,410
-73.809423,40.686754,Grand Bee's Child Vlg,"Education, Child Welfare, and Youth",410
-73.809932,40.665126,Qe08g,Core Infrastructure and Transportation,410
-73.83707,40.675011,O.Z. Auto Body & Towing Inc.,Core Infrastructure and Transportation,410
-73.841035,40.681672,Bmt Ozone Park Substation,Core Infrastructure and Transportation,410
-73.850759,40.665689,P.S. 232 Lindenwood,"Education, Child Welfare, and Youth",410
-73.856484,40.663519,City Owned Property,Administration of Government,410
-73.82335,40.683903,"Eng 308, Bat 51","Public Safety, Emergency Services, and Administration of Justice",410
-73.850759,40.665689,PS 232 &Playground (Jop),"Parks, Gardens, and Historical Sites",410
-73.836951,40.675087,O.Z. Auto Body Inc.,Core Infrastructure and Transportation,410
-73.814246,40.668894,St Anthony Of Padua,"Education, Child Welfare, and Youth",410
-73.83685,40.668082,City Owned Property,Administration of Government,410
-73.835315,40.681264,Zion Tabernacle FBH Church,Health and Human Services,410
-73.845718,40.671005,Jhs 202 & Playground (Jop),"Parks, Gardens, and Historical Sites",410
-73.848779,40.679496,Graci House,"Education, Child Welfare, and Youth",410
-73.849711,40.661541,St Helen Catholic Academy,"Education, Child Welfare, and Youth",410
-73.822937,40.669417,Gr Brothers Trucking Inc.,Core Infrastructure and Transportation,410
-73.851356,40.680022,James Charles Kolm Jr.,Core Infrastructure and Transportation,410
-73.81456,40.690488,It's My Turn Daycare Inc.,Health and Human Services,410
-73.839674,40.681835,Nicholas Demutiis Park,"Education, Child Welfare, and Youth",410
-73.834777,40.660521,P.S. 146 Howard Beach,"Education, Child Welfare, and Youth",410
-73.804989,40.669287,Aim High Leadership Academy,"Education, Child Welfare, and Youth",410
-73.833187,40.666856,City Owned Property,Administration of Government,410
-73.830311,40.678167,New Horizon Counseling Center Clinic,Health and Human Services,410
-73.859648,40.658712,South Shore Residue Landfill,"Parks, Gardens, and Historical Sites",410
-73.808131,40.675331,PS 96 & Playground,"Parks, Gardens, and Historical Sites",410
-73.841156,40.653497,Howard Beach Judea Center,"Education, Child Welfare, and Youth",410
-73.81229,40.673611,City Owned Property,Administration of Government,410
-73.850433,40.66474,Harold Schneiderman Playground,"Parks, Gardens, and Historical Sites",410
-73.806459,40.675224,City Owned Property,Administration of Government,410
-73.830553,40.653606,Hamilton Beach - Parcel C1,Administration of Government,410
-73.832196,40.655002,City Owned Property,Administration of Government,410
-73.836918,40.678683,GED Plus-Adams Academy - Ahsep,"Education, Child Welfare, and Youth",410
-73.832433,40.668526,Aqueduct,Administration of Government,410
-73.820565,40.682466,Richmond Hill Res,"Education, Child Welfare, and Youth",410
-73.837963,40.679327,Al Stabile Playground,"Parks, Gardens, and Historical Sites",410
-73.809478,40.665936,Propark America New York LLC,Core Infrastructure and Transportation,410
-73.805863,40.68148,"Argus Community, Inc. MMW",Health and Human Services,410
-73.826209,40.66569,Southern Fields,"Parks, Gardens, and Historical Sites",410
-73.816938,40.675771,Jhs 226,"Education, Child Welfare, and Youth",410
-73.852181,40.672599,Tudor Park,"Parks, Gardens, and Historical Sites",410
-73.809262,40.674776,South Ozone Park,Libraries and Cultural Programs,410
-73.829612,40.655364,City Owned Property,Administration of Government,410
-73.823443,40.665655,Southern Parkway Ballfield,"Parks, Gardens, and Historical Sites",410
-73.831024,40.679206,P.S. 108 Captain Vincent G Fowler,"Education, Child Welfare, and Youth",410
-73.846088,40.67622,City Owned Property,Administration of Government,410
-73.805099,40.672102,Aim High Leadership Academy Center Too,"Education, Child Welfare, and Youth",410
-73.844014,40.657941,PS 207 Rockwood Park,"Education, Child Welfare, and Youth",410
-73.807928,40.683114,Frederick B. Judge Playground,"Parks, Gardens, and Historical Sites",410
-73.808863,40.669273,Ra Contracting NY Corp,Core Infrastructure and Transportation,410
-73.815992,40.689677,Holy Ghost Revival,"Education, Child Welfare, and Youth",410
-73.843682,40.678765,The Little Dolphin,Health and Human Services,410
-73.847119,40.673188,Sunrise Yard,Administration of Government,410
-73.857276,40.671984,Inner Force,"Education, Child Welfare, and Youth",410
-73.821592,40.679779,PS 100 & Playground,"Parks, Gardens, and Historical Sites",410
-73.823187,40.666301,Locust Grove Civic Triangle,"Parks, Gardens, and Historical Sites",410
-73.839964,40.660945,Destratification Facility,Core Infrastructure and Transportation,410
-73.81456,40.690488,Playmates Nursery,"Education, Child Welfare, and Youth",410
-73.831024,40.679206,P.S. 108 Captain Vincent G. Fowler,"Education, Child Welfare, and Youth",410
-73.855879,40.671274,Our World Neighborhood Cs 2,"Education, Child Welfare, and Youth",410
-73.831027,40.652021,City Owned Property,Administration of Government,410
-73.851799,40.667326,Physicians Choice Surgicenter,Health and Human Services,410
-73.836861,40.682775,City Owned Property,Administration of Government,410
-73.844197,40.670859,Remsen Cemetery,"Parks, Gardens, and Historical Sites",410
-73.810423,40.664468,Jamaica Water Pollution Cp,Core Infrastructure and Transportation,410
-73.858656,40.674461,Judge Angelo Graci Triangle,"Parks, Gardens, and Historical Sites",410
-73.845718,40.671005,Robert H. Goddard High School Of Communication Arts And Technology,"Education, Child Welfare, and Youth",410
-73.809125,40.685037,"Playmates Nursery, Inc (2)","Education, Child Welfare, and Youth",410
-73.806013,40.670867,Educational Church Of Holiness/Cogic,"Education, Child Welfare, and Youth",410
-73.857906,40.662563,Spring Creek Park Add. Q165,"Parks, Gardens, and Historical Sites",410
