X,Y,facname,facdomain,borocd
-73.833569,40.69997,Queens Adult Home Assessment Dollars,Health and Human Services,409
-73.816472,40.701237,Jamaica Hospital Sleep Center,Health and Human Services,409
-73.816299,40.701412,Jamaica Hospital Medical Center,Health and Human Services,409
-73.846794,40.697139,City Owned Property,Administration of Government,409
-73.835379,40.706902,Park Lane Garage LLC,Core Infrastructure and Transportation,409
-73.858404,40.680955,Up The Ladder,Health and Human Services,409
-73.852844,40.691455,"PS 60, Mini-School & Playgrnd","Parks, Gardens, and Historical Sites",409
-73.828799,40.713035,Kew Gardens Dialysis Center,Health and Human Services,409
-73.828135,40.713842,Queens Borough Hall,Administration of Government,409
-73.834156,40.707634,Acheinu,"Education, Child Welfare, and Youth",409
-73.849274,40.684112,Adessa House,"Education, Child Welfare, and Youth",409
-73.829582,40.693637,C & R Towing Ltd.,Core Infrastructure and Transportation,409
-73.830895,40.707029,Project Lead,Health and Human Services,409
-73.832944,40.703165,Sholom Day Care 2,"Education, Child Welfare, and Youth",409
-73.834381,40.698234,Richmond Hill SDA Community,Health and Human Services,409
-73.845236,40.689072,"Little Linda Bus Co.,Inc.",Core Infrastructure and Transportation,409
-73.824456,40.712099,Sitting Area (Hoover),"Parks, Gardens, and Historical Sites",409
-73.853896,40.686723,Troubleshooter Towing & Road Service Inc,Core Infrastructure and Transportation,409
-73.817315,40.701827,Welcome Parking Limited Liability Company,Core Infrastructure and Transportation,409
-73.831625,40.700767,Richmond Hill,Libraries and Cultural Programs,409
-73.83039,40.707221,Vleigh Pl Plyd,"Education, Child Welfare, and Youth",409
-73.826852,40.70448,Bais Yaakov Academy For Girls,"Education, Child Welfare, and Youth",409
-73.828135,40.713842,Queens Borough Hall,Administration of Government,409
-73.834308,40.70814,Anshe Sholom Jewish Center,"Education, Child Welfare, and Youth",409
-73.84747,40.683858,Ms 210,"Education, Child Welfare, and Youth",409
-73.853698,40.694433,City Owned Property,Administration of Government,409
-73.825477,40.712687,Queens Criminal Court,"Public Safety, Emergency Services, and Administration of Justice",409
-73.831334,40.713565,Access Careers,"Education, Child Welfare, and Youth",409
-73.828135,40.713842,Queens Borough Hall,Administration of Government,409
-73.860015,40.684971,Big City Automotive Inc,Core Infrastructure and Transportation,409
-73.828901,40.689364,Cuomo First Step,"Education, Child Welfare, and Youth",409
-73.835613,40.691903,S. Queens Boys/Girls,"Education, Child Welfare, and Youth",409
-73.834533,40.6991,Richmond Hill Historical Society,Libraries and Cultural Programs,409
-73.825755,40.704072,131-10 Rb Corp.,Core Infrastructure and Transportation,409
-73.828901,40.689364,Cuomo First Step Ecc,"Education, Child Welfare, and Youth",409
-73.831705,40.698279,P.S. 051,"Education, Child Welfare, and Youth",409
-73.826829,40.689983,Dolly/Frank Russo/First Step,"Education, Child Welfare, and Youth",409
-73.832047,40.689188,Richmond Hill Icf,"Education, Child Welfare, and Youth",409
-73.830611,40.701016,Sparkling Stars,"Education, Child Welfare, and Youth",409
-73.828135,40.713842,Queens Borough Hall,Administration of Government,409
-73.845602,40.684228,Vip Day Care Center,"Education, Child Welfare, and Youth",409
-73.850566,40.691193,Catholic Med Ctr Brook/Queens Sch Nr,"Education, Child Welfare, and Youth",409
-73.835593,40.699073,P.S. 056 Harry Eichler,"Education, Child Welfare, and Youth",409
-73.849977,40.683363,Queens Explorers Elementary School,"Education, Child Welfare, and Youth",409
-73.828135,40.713842,Queens County Jury,"Public Safety, Emergency Services, and Administration of Justice",409
-73.841152,40.689274,P.S. Q233,"Education, Child Welfare, and Youth",409
-73.816953,40.699988,Jamaica Hospital Nursing Home Co Inc,Health and Human Services,409
-73.827285,40.709479,Pre - K Center At 83 - 30 Kew Gardens Road,"Education, Child Welfare, and Youth",409
-73.817315,40.701827,GED Plus-Jamaica Hospital-Ahsep,"Education, Child Welfare, and Youth",409
-73.844345,40.693615,PS 273,"Education, Child Welfare, and Youth",409
-73.826934,40.70428,Bais Yaakov Academy Of Queens ( Metropolitan Ave ),"Education, Child Welfare, and Youth",409
-73.857666,40.687888,Hidden Treasures,"Education, Child Welfare, and Youth",409
-73.847994,40.681892,Divine Mercy Catholic Academy,"Education, Child Welfare, and Youth",409
-73.81766,40.691287,PS 55 Annex,"Education, Child Welfare, and Youth",409
-73.827602,40.712165,Courtview Owners Corp.,Core Infrastructure and Transportation,409
-73.826243,40.704406,Metro Triangle,"Parks, Gardens, and Historical Sites",409
-73.824604,40.702679,PS 54 & Playground,"Parks, Gardens, and Historical Sites",409
-73.839484,40.685688,Catholic Charities Neighborhood Services Inc,Health and Human Services,409
-73.853277,40.690424,Catholic Charities Neighborhood Services Inc,Health and Human Services,409
-73.854177,40.695792,Northside School 91st St,"Education, Child Welfare, and Youth",409
-73.831334,40.713565,"Arms Acres, Inc. OP",Health and Human Services,409
-73.83157,40.698712,NYCpd 102nd Precinct,"Public Safety, Emergency Services, and Administration of Justice",409
-73.858404,40.680955,Up The Ladder,"Education, Child Welfare, and Youth",409
-73.835458,40.698724,St John's Lutheran School Pre-K,"Education, Child Welfare, and Youth",409
-73.838812,40.69759,Latin American Intercultural Alliance,Libraries and Cultural Programs,409
-73.834235,40.703788,Shaar Hatorah High School,"Education, Child Welfare, and Youth",409
-73.853845,40.687164,5 Boro Auto Recovery Inc.,Core Infrastructure and Transportation,409
-73.848267,40.682548,Upk At Divine Mercy Catholic Academy,"Education, Child Welfare, and Youth",409
-73.862073,40.692385,City Owned Property,Administration of Government,409
-73.834942,40.701968,Jacob Riis Triangle,"Parks, Gardens, and Historical Sites",409
-73.833726,40.694934,27q475 - Richmond Hill High School,Health and Human Services,409
-73.834156,40.707634,Yeshiva  Tifereth Moshe,Health and Human Services,409
-73.828135,40.713842,Queens Borough Hall,Administration of Government,409
-73.84762,40.684658,J.H.S. 210 Elizabeth Blackwell,"Education, Child Welfare, and Youth",409
-73.825477,40.712687,Queens County Supreme Court - Criminal Term,"Public Safety, Emergency Services, and Administration of Justice",409
-73.821522,40.694663,"Phil ""Scooter"" Rizzuto Park","Parks, Gardens, and Historical Sites",409
-73.820724,40.695748,City Owned Property,Administration of Government,409
-73.8302,40.687319,Bev's Kiddie Day Care,"Education, Child Welfare, and Youth",409
-73.831157,40.686401,Aobh Ozone Park,"Education, Child Welfare, and Youth",409
-73.816261,40.693632,P.S. 055 Maure,"Education, Child Welfare, and Youth",409
-73.846093,40.697952,PS 66 & Playground,"Parks, Gardens, and Historical Sites",409
-73.856384,40.691258,Saint Thomas Apostle Catholic Academy,"Education, Child Welfare, and Youth",409
-73.832422,40.702298,Church of the Resurrection,"Parks, Gardens, and Historical Sites",409
-73.852132,40.689381,Well Station #7,Core Infrastructure and Transportation,409
-73.829093,40.692875,Epic High School - North,"Education, Child Welfare, and Youth",409
-73.843458,40.693123,Calvary's Mission,Health and Human Services,409
-73.825477,40.712687,Queens Criminal Court,Administration of Government,409
-73.86144,40.694545,Queens Library Universal Pre-Kindergarten Program At Woodhaven Library,"Education, Child Welfare, and Youth",409
-73.828135,40.713842,"Latin American Cultural Center of Queens, Inc.",Libraries and Cultural Programs,409
-73.852724,40.682527,Ruoff Triangle,"Parks, Gardens, and Historical Sites",409
-73.823944,40.703765,Well Station #1,Core Infrastructure and Transportation,409
-73.860009,40.694275,P.S. 097 Forest Park,"Education, Child Welfare, and Youth",409
-73.856128,40.685658,Saint Elizabeth Catholic Academy,"Education, Child Welfare, and Youth",409
-73.825879,40.71324,Queens Criminal Court,Administration of Government,409
-73.825021,40.689968,A1 Demo & Rubbish Removal Corp.,Core Infrastructure and Transportation,409
-73.831705,40.698279,Future PS 51 Ecc,"Education, Child Welfare, and Youth",409
-73.831618,40.707472,Sholom Day Care 1,"Education, Child Welfare, and Youth",409
-73.821006,40.690425,P.S. Q004,"Education, Child Welfare, and Youth",409
-73.856962,40.682036,P.S. 064 Joseph P. Addabbo,"Education, Child Welfare, and Youth",409
-73.819536,40.705686,Tiegerman School,"Education, Child Welfare, and Youth",409
-73.8622,40.690139,Maison D'Ecole,"Education, Child Welfare, and Youth",409
-73.831618,40.707472,Fcc,"Education, Child Welfare, and Youth",409
-73.847994,40.681892,Divine Mercy Catholic Academy,"Education, Child Welfare, and Youth",409
-73.826273,40.698703,Well Station #17,Core Infrastructure and Transportation,409
-73.825939,40.711558,"Central Parking System Of New York,Inc.",Core Infrastructure and Transportation,409
-73.863322,40.679291,Liberty Ave Plaza,"Parks, Gardens, and Historical Sites",409
-73.845236,40.689072,Logan Bus Company Inc.,Core Infrastructure and Transportation,409
-73.816278,40.700392,Jamaica Hospital Inpatient Program,Health and Human Services,409
-73.833569,40.69997,Federation of Organizations ACT Program,Health and Human Services,409
-73.825879,40.71324,"NYC Family Justice Center, Queens",Health and Human Services,409
-73.821006,40.690425,P.S. 161 Arthur Ashe School,"Education, Child Welfare, and Youth",409
-73.831705,40.698279,Future PS 51 Ecc,Administration of Government,409
-73.825477,40.712687,Queens Criminal Court,Administration of Government,409
-73.854034,40.686763,NYC Parks-London Planetree,"Education, Child Welfare, and Youth",409
-73.860009,40.694275,PS 97 & Playground,"Parks, Gardens, and Historical Sites",409
-73.836143,40.687962,Nadya Universal Pre-K School,"Education, Child Welfare, and Youth",409
-73.838318,40.685796,St. Mary Gate Of Heaven,"Education, Child Welfare, and Youth",409
-73.830462,40.707663,Sholom  Sholom  Inc,"Education, Child Welfare, and Youth",409
-73.831618,40.707472,Lefferts,"Education, Child Welfare, and Youth",409
-73.831334,40.713565,Queens Da Office,Administration of Government,409
-73.83157,40.698712,NYCpd 102nd Precinct,"Public Safety, Emergency Services, and Administration of Justice",409
-73.833726,40.694934,Richmond Hill High School,Health and Human Services,409
-73.826852,40.70448,Camp Achdus,"Education, Child Welfare, and Youth",409
-73.837354,40.707129,"Bunche, Ralph, House","Parks, Gardens, and Historical Sites",409
-73.841429,40.696335,Queens Court Academy (Restart),"Education, Child Welfare, and Youth",409
-73.820227,40.699545,"Samaritan Daytop Village, Inc. OTP",Health and Human Services,409
-73.838001,40.686804,Fed of Org - HH CM NYC,Health and Human Services,409
-73.825477,40.712687,New York City Criminal Court - Queens County Branch,"Public Safety, Emergency Services, and Administration of Justice",409
-73.83051,40.707623,Sholom Sholom Inc.,"Education, Child Welfare, and Youth",409
-73.835756,40.707021,Sp Plus Corporation,Core Infrastructure and Transportation,409
-73.86144,40.694545,Woodhaven,Libraries and Cultural Programs,409
-73.83529,40.691681,Boys & Girls Club Of Metro Queens,Health and Human Services,409
-73.819903,40.696603,Sheridon Shop,Core Infrastructure and Transportation,409
-73.837626,40.698558,Upk Atholy Child Jesus,"Education, Child Welfare, and Youth",409
-73.858404,40.680955,Up The Ladder,"Education, Child Welfare, and Youth",409
-73.836015,40.686373,Shafiek Mohamed,Core Infrastructure and Transportation,409
-73.847994,40.681892,Divine Mercy Catholic Academy,"Education, Child Welfare, and Youth",409
-73.836512,40.708285,Kew Gardens Sep,"Education, Child Welfare, and Youth",409
-73.832517,40.71253,Beth Gavriel DCC Inc.,Health and Human Services,409
-73.828135,40.713842,Queens Borough Hall,Administration of Government,409
-73.831699,40.703428,Kew Gardens Icf,"Education, Child Welfare, and Youth",409
-73.829612,40.705073,Kochavim Ktanim Child Care Inc,"Education, Child Welfare, and Youth",409
-73.826122,40.713732,Queens Family Justice Center,"Education, Child Welfare, and Youth",409
-73.831992,40.700253,The Outreach Project OP,Health and Human Services,409
-73.838896,40.690971,F & S Towing Inc.,Core Infrastructure and Transportation,409
-73.838001,40.686804,Fed of Org - HH NonMed CM - NYC,Health and Human Services,409
-73.835677,40.688371,P S 62 - Chester Park School,"Education, Child Welfare, and Youth",409
-73.824228,40.68978,Well Station #45,Core Infrastructure and Transportation,409
-73.835677,40.688371,P. S. 62 - Chester Park School,"Education, Child Welfare, and Youth",409
-73.828135,40.713842,Queens Borough Hall,Administration of Government,409
-73.844832,40.689286,Prevete Bros. Inc.,Core Infrastructure and Transportation,409
-73.846341,40.688544,White Pot Junction R.O.W-Inrem,Administration of Government,409
-73.850638,40.686733,Medwise Center,Health and Human Services,409
-73.832517,40.71253,"Beth Gavriel DCC, Inc.","Education, Child Welfare, and Youth",409
-73.838001,40.686804,Queens Adult Home Health Home - Medicaid,Health and Human Services,409
-73.857643,40.682954,City Owned Property,Administration of Government,409
-73.834156,40.707634,Acheinu Day Camp,"Education, Child Welfare, and Youth",409
-73.827383,40.710742,Maple Grove Cemetery,"Parks, Gardens, and Historical Sites",409
-73.856384,40.691258,St Thomas The Apostle Catholic Acade,"Education, Child Welfare, and Youth",409
-73.848628,40.691617,New York City Academy For Discovery,"Education, Child Welfare, and Youth",409
-73.828135,40.713842,Queens Borough Hall,Administration of Government,409
-73.829093,40.692875,Richmond Hill High School Annex,"Education, Child Welfare, and Youth",409
-73.847943,40.697283,Robert E. Peary School,"Education, Child Welfare, and Youth",409
-73.833569,40.69997,Federation of Organizations Queens Forensic ACT Team,Health and Human Services,409
-73.8489,40.696206,Wyckoff-Snediker Family Cemetery,"Parks, Gardens, and Historical Sites",409
-73.847994,40.681892,Divine Mercy Catholic Academy,"Education, Child Welfare, and Youth",409
-73.834156,40.707634,Yeshiva Tifereth Moshe,"Education, Child Welfare, and Youth",409
