X,Y,facname,facdomain,borocd
-73.942108,40.677357,Achievement First Brooklyn HS,"Education, Child Welfare, and Youth",308
-73.942037,40.672799,Child Project Inc,"Education, Child Welfare, and Youth",308
-73.955523,40.67156,City Owned Property,Administration of Government,308
-73.957585,40.679363,Brooklyn Atlantic Parking LLC,Core Infrastructure and Transportation,308
-73.930744,40.675572,Happy Hearts Summer Day Camp,"Education, Child Welfare, and Youth",308
-73.960053,40.677021,PS 22,Administration of Government,308
-73.941734,40.672503,First Church Summer Academy,"Education, Child Welfare, and Youth",308
-73.94541,40.671562,Operation Fun,"Education, Child Welfare, and Youth",308
-73.95843,40.678642,Methadone Clinic II,Health and Human Services,308
-73.944603,40.672055,Gene Golden Residence,"Education, Child Welfare, and Youth",308
-73.931725,40.676429,Outdoor Truck Parking,Administration of Government,308
-73.944966,40.673768,"PS 138 Annex, E.C.C.#1","Education, Child Welfare, and Youth",308
-73.947685,40.676631,Hebron Sda Church,"Education, Child Welfare, and Youth",308
-73.973187,40.680879,Dean Playground,"Parks, Gardens, and Historical Sites",308
-73.953486,40.670532,Shiloh SDA,Health and Human Services,308
-73.925434,40.667526,Lincoln Ter/Arthur Somers Memo,"Parks, Gardens, and Historical Sites",308
-73.95161,40.672613,Haitian American (Sterling pl),"Education, Child Welfare, and Youth",308
-73.958306,40.676853,Primary Care Center,Health and Human Services,308
-73.928984,40.670181,Stars And Knights,"Education, Child Welfare, and Youth",308
-73.945587,40.673457,Park Place Child Care Center,"Education, Child Welfare, and Youth",308
-73.936759,40.673935,Albany,Health and Human Services,308
-73.928866,40.67332,Friends Of Crown Heights 29,"Education, Child Welfare, and Youth",308
-73.952334,40.676729,Acs-Field Office/Aging-Sr Ctr,Administration of Government,308
-73.954551,40.671626,Friends Of Crown Hgts #10,"Education, Child Welfare, and Youth",308
-73.966532,40.678113,Countywide Carpark Inc.,Core Infrastructure and Transportation,308
-73.92828,40.674425,P.S. 335 Granville T. Woods,"Education, Child Welfare, and Youth",308
-73.966183,40.678607,Brooklyn East Collegiate Charter School,"Education, Child Welfare, and Youth",308
-73.924598,40.675106,Fort Greene Council,Health and Human Services,308
-73.968267,40.677685,"Positive Community Images, Inc. (6)","Education, Child Welfare, and Youth",308
-73.96384,40.676223,"Sunny Skies Prospect, Corp","Education, Child Welfare, and Youth",308
-73.96051,40.67465,P.S. 316 Elijah Stroud,"Education, Child Welfare, and Youth",308
-73.95136,40.673938,Success Academy Prospect Heights (Brooklyn 6),"Education, Child Welfare, and Youth",308
-73.92383,40.669688,City Owned Property,Administration of Government,308
-73.923885,40.670957,Dee's Safe Haven,"Education, Child Welfare, and Youth",308
-73.964759,40.67805,Park Right Corporation,Core Infrastructure and Transportation,308
-73.950491,40.67329,Park Place Daycare,"Education, Child Welfare, and Youth",308
-73.948953,40.674049,Garden Of Learning,"Education, Child Welfare, and Youth",308
-73.946173,40.673881,City Owned Property,Administration of Government,308
-73.95136,40.673938,P.S. 138 Brooklyn,"Education, Child Welfare, and Youth",308
-73.926094,40.674621,Weeksville Heritage Center,"Education, Child Welfare, and Youth",308
