X,Y,facname,facdomain,borocd
-73.939179,40.758566,P.S. 111 Jacob Blackwell,"Education, Child Welfare, and Youth",401
-73.914252,40.787444,Astoria,Core Infrastructure and Transportation,401
-73.924727,40.762766,T R Parking Station Inc,Core Infrastructure and Transportation,401
-73.894116,40.769958,PS 2 & Playground,"Parks, Gardens, and Historical Sites",401
-73.928131,40.768526,Variety Boys And Girls Club Of Queen,"Education, Child Welfare, and Youth",401
-73.933106,40.765523,30q450 Long Island City High School,"Education, Child Welfare, and Youth",401
-73.893627,40.770586,Carlos Lillo Memorial Park,"Parks, Gardens, and Historical Sites",401
-73.90152,40.754162,Panjshir Towing Inc.,Core Infrastructure and Transportation,401
-73.918057,40.776088,Lit Fund Incorporated,Libraries and Cultural Programs,401
-73.903047,40.766198,"Best Service Auto Body, Inc.",Core Infrastructure and Transportation,401
-73.911727,40.76744,Muslim American Society Of Queens- Lotus Tree Upk,Health and Human Services,401
-73.913318,40.755464,Ayazamana Cultural Center,Libraries and Cultural Programs,401
-73.914558,40.756624,The Salvation Army Astoria Corps,Health and Human Services,401
-73.912429,40.756021,Corporal Frank F. Fagan Sq.,"Parks, Gardens, and Historical Sites",401
-73.905594,40.763703,Elber Islamic School,Health and Human Services,401
-73.932712,40.77492,Goodwill Industries Family Learning Center,"Education, Child Welfare, and Youth",401
-73.947366,40.757025,Queensbridge Park,"Parks, Gardens, and Historical Sites",401
-73.896306,40.778292,JB Waste Oil Co Inc,Core Infrastructure and Transportation,401
-73.899171,40.773531,City Owned Property,Administration of Government,401
-73.936659,40.760505,Queens Library-Ravenswood,"Education, Child Welfare, and Youth",401
-73.938538,40.756955,NY 1 Towing Inc,Core Infrastructure and Transportation,401
-73.905594,40.763703,El-Ber Islamic School,"Education, Child Welfare, and Youth",401
-73.936425,40.756712,"Dance Entropy, Inc.",Libraries and Cultural Programs,401
-73.935323,40.750433,"The Fortune Society, Inc.","Education, Child Welfare, and Youth",401
-73.940796,40.762526,Brickman Cigar Factory LLC.,Core Infrastructure and Transportation,401
-73.94452,40.755585,Queensbridge North,Health and Human Services,401
-73.918578,40.750912,NY Life Summer Camp,"Education, Child Welfare, and Youth",401
-73.913896,40.761826,Pre - K Center At P.S. 070 Queens,"Education, Child Welfare, and Youth",401
-73.933106,40.765523,Long Island City High School,"Education, Child Welfare, and Youth",401
-73.934912,40.772088,Hallets Cove Playground,"Parks, Gardens, and Historical Sites",401
-73.934633,40.75296,Boulevard Garage Inc.,Core Infrastructure and Transportation,401
-73.924228,40.771309,The Young Women's Leadership School Of Astoria,"Education, Child Welfare, and Youth",401
-73.94452,40.755585,Jacob A. Riis Neighborhood Settlement,"Education, Child Welfare, and Youth",401
-73.938538,40.756955,Relentless NYC Towing Inc,Core Infrastructure and Transportation,401
-73.923117,40.755921,Queens Council on the Arts,Libraries and Cultural Programs,401
-73.908332,40.757665,P.S. Q255,"Education, Child Welfare, and Youth",401
-73.920334,40.77141,Kid Krazy Inc. Preschool,"Education, Child Welfare, and Youth",401
-73.933106,40.765523,Long Island City High School,Health and Human Services,401
-73.92269,40.772047,Astoria Early Childhood Development Corp,"Education, Child Welfare, and Youth",401
-73.936256,40.772494,Astoria,Health and Human Services,401
-73.909318,40.776884,Queens Library-Steinway,"Education, Child Welfare, and Youth",401
-73.945328,40.755488,Jacob A. Riis,"Education, Child Welfare, and Youth",401
-73.922391,40.775016,Chappetto Square,"Parks, Gardens, and Historical Sites",401
-73.895676,40.766998,Park Strip,"Parks, Gardens, and Historical Sites",401
-73.908045,40.777288,Queens Lutheran School,"Education, Child Welfare, and Youth",401
-73.908398,40.757888,P.S. 151 Mary D Carter,"Education, Child Welfare, and Youth",401
-73.922239,40.773978,Triborough Bridge Playground C,"Parks, Gardens, and Historical Sites",401
-73.926519,40.768479,Sp Plus Corporation,Core Infrastructure and Transportation,401
