X,Y,facname,facdomain,borocd
-73.868967,40.828442,Watson Playground,"Parks, Gardens, and Historical Sites",209
-73.864934,40.819588,City Owned Property,Administration of Government,209
-73.875947,40.829787,Bright Star Stratford Inc.,Health and Human Services,209
-73.84344,40.833319,"1200 Zerega Realty, LLC",Administration of Government,209
-73.852492,40.832362,Ellis Avenue School,"Education, Child Welfare, and Youth",209
-73.855921,40.819067,Playgnd-A Stevnson HS/Se BX HS,"Parks, Gardens, and Historical Sites",209
-73.845977,40.812574,YMCA Castle Hill,Health and Human Services,209
-73.847105,40.816711,Dr. Katharine Dodge Brownell School,"Education, Child Welfare, and Youth",209
-73.877862,40.825822,Boynton Avenue Rehab,Health and Human Services,209
-73.852554,40.834378,Castle Hill Family Practice,Health and Human Services,209
-73.855369,40.83437,St. Helena School,"Education, Child Welfare, and Youth",209
-73.871421,40.835638,City Owned Property,Administration of Government,209
-73.874288,40.829282,Morrison Ave Plaza,"Parks, Gardens, and Historical Sites",209
-73.858225,40.807679,Harding Park.Beautification Pk,"Parks, Gardens, and Historical Sites",209
-73.858542,40.834093,Bronx Charter Sch-Excellence,"Education, Child Welfare, and Youth",209
-73.85054,40.823474,Po Serrano Playground,"Education, Child Welfare, and Youth",209
-73.862721,40.834658,Jasa East Bronx Case Management Program,Health and Human Services,209
-73.844259,40.816463,Bobby`S Bus Co. Inc.,Core Infrastructure and Transportation,209
-73.872649,40.82084,Lafayette Estates,"Education, Child Welfare, and Youth",209
-73.865002,40.820804,Soundview Presbyterian Church,Health and Human Services,209
-73.87624,40.833513,Ympj,Health and Human Services,209
-73.879609,40.831623,Emanuel Pentecostal Faith Church,Health and Human Services,209
-73.844513,40.825154,Snt Bus Inc,Core Infrastructure and Transportation,209
-73.855822,40.837122,"Central Parking System Of New York, Inc.",Core Infrastructure and Transportation,209
-73.868814,40.835155,"Diversity in Arts and Nations for Cultural Education, Inc.",Libraries and Cultural Programs,209
-73.856385,40.808305,Harding Park,"Parks, Gardens, and Historical Sites",209
-73.848854,40.819515,Randall Avenue Early Childhood Center,"Education, Child Welfare, and Youth",209
-73.880771,40.820829,"Felisa Rincon De Gautier Institute For Law And Public Policy, The","Education, Child Welfare, and Youth",209
-73.862787,40.821864,P.S. 100 Isaac Clason,"Education, Child Welfare, and Youth",209
-73.877435,40.823299,Parking For P.S. 93,Administration of Government,209
-73.865236,40.823039,Monroe,Health and Human Services,209
-73.841474,40.824619,Throgs Neck Sewage Pump Sta,Core Infrastructure and Transportation,209
-73.856633,40.81734,Urban Health Plan,Health and Human Services,209
-73.868568,40.818818,84x465 Bronx PS 107,Health and Human Services,209
-73.869182,40.824008,Angus Automotive Inc.,Core Infrastructure and Transportation,209
