X,Y,facname,facdomain,borocd
-73.865519,40.750176,Mi Nuevo Mundo Corp.,"Education, Child Welfare, and Youth",403
-73.872406,40.756605,The Voices of Hagar,Health and Human Services,403
-73.888233,40.74751,"Alarcon-Mordini Enterprises, Inc.",Core Infrastructure and Transportation,403
-73.872853,40.75067,Children's Big Apple,Health and Human Services,403
-73.884367,40.751275,St Joan Of Arc School,"Education, Child Welfare, and Youth",403
-73.892091,40.747062,Diversity Plaza,"Parks, Gardens, and Historical Sites",403
-73.868138,40.757632,Queens Library-Langston Hughes,"Education, Child Welfare, and Youth",403
-73.865001,40.753795,Corona SDA Church,Health and Human Services,403
-73.891561,40.748992,Jackson Heights Program,"Education, Child Welfare, and Youth",403
-73.880666,40.752448,The Salvation Army - Templo de Queens,Health and Human Services,403
-73.863312,40.754165,Our Lady Of Sorrows,"Education, Child Welfare, and Youth",403
-73.870846,40.756145,Sco Family Of Service,"Education, Child Welfare, and Youth",403
-73.85796,40.757722,Malcolm X Early Ch Ed Ctr,"Education, Child Welfare, and Youth",403
-73.858922,40.757617,P.S. 330,"Education, Child Welfare, and Youth",403
-73.880666,40.752448,Salvation Army,Libraries and Cultural Programs,403
-73.870846,40.756145,SCO Corona Early Childhood Education Center,"Education, Child Welfare, and Youth",403
-73.893739,40.761285,Lexington School For The Deaf,"Education, Child Welfare, and Youth",403
-73.883729,40.766211,Mta Bus Depot,Core Infrastructure and Transportation,403
-73.863252,40.753834,La Assoc Benedica Culture,"Education, Child Welfare, and Youth",403
-73.860887,40.75586,The Child Center Of NY 2,"Education, Child Welfare, and Youth",403
-73.881175,40.759981,Atonement Pre - School,"Education, Child Welfare, and Youth",403
-73.872144,40.754705,Playground,"Parks, Gardens, and Historical Sites",403
-73.889257,40.762578,Laguardia Landing Lights Park,Administration of Government,403
-73.88101,40.763736,O'sullivan Plaza,"Parks, Gardens, and Historical Sites",403
-73.864935,40.752666,City Owned Property,Administration of Government,403
-73.888744,40.76158,Our Lady Of Fatima School,"Education, Child Welfare, and Youth",403
-73.884825,40.749928,The Renaissance Charter School,"Education, Child Welfare, and Youth",403
-73.873943,40.753821,PS280q,"Education, Child Welfare, and Youth",403
-73.874494,40.756276,Northern Playground,"Parks, Gardens, and Historical Sites",403
-73.87536,40.750502,CCNS Corona PROS,Health and Human Services,403
-73.885615,40.755799,"Eng 307, Lad 154","Public Safety, Emergency Services, and Administration of Justice",403
-73.868683,40.756011,P.S. 092 Harry T. Stewart Sr.,"Education, Child Welfare, and Youth",403
-73.870126,40.769044,"Elmhurst Care Center, Inc",Health and Human Services,403
-73.858424,40.758419,City Owned Property,Administration of Government,403
-73.861244,40.758119,A Childs Place,"Education, Child Welfare, and Youth",403
-73.868155,40.75952,Sunflower Kidz Day Care,"Education, Child Welfare, and Youth",403
-73.879525,40.763428,Catholic Charities Neighborhood Services Inc,Health and Human Services,403
-73.879992,40.750443,P.S. Q222 - Fire Fighter Christopher A Santora School,"Education, Child Welfare, and Youth",403
-73.870838,40.757874,Vest Pocket Park,"Parks, Gardens, and Historical Sites",403
-73.884472,40.749017,Mount Sinai Hospital - Mount Sinai Hospital Queens,Health and Human Services,403
-73.865704,40.756034,Corona Congregational Church,Health and Human Services,403
-73.874426,40.755283,PS 149 & Playground (Jop),"Parks, Gardens, and Historical Sites",403
-73.871387,40.76508,PS 127 & Plygd (Jop),"Parks, Gardens, and Historical Sites",403
-73.873871,40.762418,East Elmhurst,Libraries and Cultural Programs,403
-73.872406,40.756605,Elmcor Youth & Adult Activities Inc,Health and Human Services,403
-73.888335,40.764009,LaGuardia Landing Lights,Administration of Government,403
-73.879777,40.768247,Cfs 2907 Lga LLC,Core Infrastructure and Transportation,403
-73.888591,40.748834,Super Kickers,"Education, Child Welfare, and Youth",403
-73.871966,40.754221,Corona Health Center,Health and Human Services,403
-73.870836,40.757875,Private William Gray Playground,"Parks, Gardens, and Historical Sites",403
-73.888591,40.748834,USDA-CEO P811q At PS 69q,"Education, Child Welfare, and Youth",403
-73.884367,40.751275,Brooklyn Archdiocese,"Education, Child Welfare, and Youth",403
-73.888569,40.754697,"Garden School, Inc.","Education, Child Welfare, and Youth",403
-73.864232,40.761435,SCO Family Of Services Jerome Hardeman Ece,"Education, Child Welfare, and Youth",403
-73.88786,40.766039,Laguardia Landing Lights,Administration of Government,403
-73.874695,40.757935,P.S. Q811,"Education, Child Welfare, and Youth",403
-73.855963,40.755801,P.S. 143 Louis Armstrong,"Education, Child Welfare, and Youth",403
-73.888156,40.748729,P.S. 069 Jackson Heights,"Education, Child Welfare, and Youth",403
-73.88612,40.751892,G.G. Repairs & Maintenance Corp.,Core Infrastructure and Transportation,403
-73.87536,40.750502,CCNS Corona Behavioral Health Clinic,Health and Human Services,403
-73.85796,40.757722,"Sheltering Arms Of Children And Family Services, Inc.","Education, Child Welfare, and Youth",403
-73.871479,40.761685,Pre-K Center At 26-25 97th Street,"Education, Child Welfare, and Youth",403
-73.892234,40.763107,Louis C. Moser Playground,"Parks, Gardens, and Historical Sites",403
-73.874881,40.756936,PS 228,"Education, Child Welfare, and Youth",403
-73.874695,40.757935,USDA-CEO P811q At IS 227q,"Education, Child Welfare, and Youth",403
-73.884825,40.749928,The Renaissance Charter School,"Education, Child Welfare, and Youth",403
-73.865439,40.757359,Learning Tree Multi-Cultural School,"Education, Child Welfare, and Youth",403
-73.88277,40.752905,"Metropolis Ensemble, Inc.",Libraries and Cultural Programs,403
-73.876834,40.755586,Jackson Heights-Elmhust Kehilah,"Education, Child Welfare, and Youth",403
-73.862525,40.7575,Pre-K Center At 106-02 Northern Blvd,"Education, Child Welfare, and Youth",403
-73.861527,40.754576,Louis Armstrong House,Libraries and Cultural Programs,403
-73.883707,40.750051,Jorian Park LLC,Core Infrastructure and Transportation,403
-73.873544,40.758512,"Mexicanos Unidos de Queens, Inc.",Libraries and Cultural Programs,403
-73.873201,40.752754,QMAD Queens Media Arts Development,Libraries and Cultural Programs,403
-73.884825,40.749928,The Renaissance Charter School,"Education, Child Welfare, and Youth",403
