X,Y,facname,facdomain,borocd
-73.891973,40.878654,Jerome Park,"Parks, Gardens, and Historical Sites",208
-73.914776,40.878633,Riverdale Senior Services Inc,Health and Human Services,208
-73.897378,40.885074,Tibbet's Trail/Park Strip,"Parks, Gardens, and Historical Sites",208
-73.908351,40.905012,Riverdale Ym/Ywha,"Education, Child Welfare, and Youth",208
-73.906807,40.875965,Marble Hill Nursery School,Health and Human Services,208
-73.891541,40.882947,P.S. 095 Sheila Mencher,"Education, Child Welfare, and Youth",208
-73.913611,40.89924,Riverdale Country Kindergarten,"Education, Child Welfare, and Youth",208
-73.9113,40.885622,St. Gabriel School,"Education, Child Welfare, and Youth",208
-73.902938,40.882672,O'sullivan's Fleet LLC,Core Infrastructure and Transportation,208
-73.903505,40.879505,"Riverdale Parking Lot, Inc.",Core Infrastructure and Transportation,208
-73.901822,40.905321,New Triple S Summer Camp,"Education, Child Welfare, and Youth",208
-73.911763,40.891746,Briar Hill Realty LLC,Core Infrastructure and Transportation,208
-73.893726,40.882549,PS 122,"Education, Child Welfare, and Youth",208
-73.895,40.878023,Jerome Park Reservoir,"Parks, Gardens, and Historical Sites",208
-73.918719,40.883164,P 721x At Schervier Nursing Home,"Education, Child Welfare, and Youth",208
-73.908681,40.881227,Manhattanville Health Care Center,Health and Human Services,208
-73.903737,40.877,"Eng 81,Lad 46","Public Safety, Emergency Services, and Administration of Justice",208
-73.900182,40.879786,Child Development Center Of The Mosholu-Montefiore,Health and Human Services,208
-73.905881,40.880821,St John School,"Education, Child Welfare, and Youth",208
-73.912477,40.900135,Wave Hill,Libraries and Cultural Programs,208
-73.893531,40.884959,Amalgamated Nursery School,"Education, Child Welfare, and Youth",208
-73.899521,40.89315,Horace Mann School,"Education, Child Welfare, and Youth",208
-73.900705,40.877611,Kingsbridge Heights Community Center,"Education, Child Welfare, and Youth",208
-73.91283,40.891688,Riverdale Temple Nursery School,"Education, Child Welfare, and Youth",208
-73.891558,40.883103,P.S. 095 Sheila Mencher,"Education, Child Welfare, and Youth",208
-73.893708,40.882686,Mosholu Montefiore - Van Cortlandt,"Education, Child Welfare, and Youth",208
-73.904095,40.903438,Riverdale Neighborhood House Inc.,"Education, Child Welfare, and Youth",208
-73.9154,40.884738,Jfru LLC,Core Infrastructure and Transportation,208
-73.899777,40.905975,City Owned Property,Administration of Government,208
-73.920799,40.878475,Spuyten Duyvil Shorefront Park,"Parks, Gardens, and Historical Sites",208
-73.902175,40.884521,Fieldston Automotive Inc.,Core Infrastructure and Transportation,208
-73.902274,40.904448,Mosholu Avenue Primary Care Center,Health and Human Services,208
-73.901422,40.880291,Conrad Grauer Field,"Parks, Gardens, and Historical Sites",208
-73.9003,40.892253,Horace Mann School Lower Div,"Education, Child Welfare, and Youth",208
-73.914677,40.886272,Spuyten Duyvil,Libraries and Cultural Programs,208
-73.909,40.876919,St. Stephen's United Methodist Church,"Parks, Gardens, and Historical Sites",208
-73.909219,40.889672,Family/Youth Intervention - Bronx,Health and Human Services,208
-73.908181,40.877486,Marble Hill Playground,"Parks, Gardens, and Historical Sites",208
-73.909318,40.881035,International Leadership Charter Hig,"Education, Child Welfare, and Youth",208
-73.8984,40.889701,242nd Street - Van Cortlandt Park Station (IRT),"Parks, Gardens, and Historical Sites",208
-73.896683,40.904904,Sheridan Triangle,"Parks, Gardens, and Historical Sites",208
-73.907835,40.881037,Khcc Early Childhood Services II,"Education, Child Welfare, and Youth",208
-73.908395,40.889257,Bell Tower Park,"Parks, Gardens, and Historical Sites",208
-73.903893,40.876722,Siren Slope/Park Strip,"Parks, Gardens, and Historical Sites",208
-73.918798,40.883192,Happy Days @ Riverdale,"Education, Child Welfare, and Youth",208
-73.914978,40.882172,Riverdale Nursing Home,Health and Human Services,208
-73.900739,40.881116,Bailey Playground,"Education, Child Welfare, and Youth",208
-73.90806,40.876535,Marble Hill,Health and Human Services,208
-73.90806,40.876535,Mmcc @ Marble Hill Cornerstone,"Education, Child Welfare, and Youth",208
-73.903869,40.903365,"Riverdale Neighborhood House, Inc.","Education, Child Welfare, and Youth",208
-73.900027,40.882062,Bailey Playground,"Parks, Gardens, and Historical Sites",208
-73.900857,40.887877,240 St.,Core Infrastructure and Transportation,208
-73.899992,40.873999,Old Fort #4 Park,"Parks, Gardens, and Historical Sites",208
-73.908113,40.905191,Riverdale Y Early Childhood Program,"Education, Child Welfare, and Youth",208
-73.914576,40.886889,PS 24 & (Jop) Playground,"Parks, Gardens, and Historical Sites",208
-73.909265,40.889688,Riverdale Nursery & Early Child Cntr,"Education, Child Welfare, and Youth",208
-73.896886,40.907974,Park Gardens Rehabilitation & Nursing Center LLC,Health and Human Services,208
-73.913889,40.898293,"Esf, Inc","Education, Child Welfare, and Youth",208
-73.918935,40.883206,"Renanim Manhattan, Inc.","Education, Child Welfare, and Youth",208
-73.914576,40.886889,P.S. 024 Spuyten Duyvil,"Education, Child Welfare, and Youth",208
-73.900182,40.879786,Fort Independence,"Education, Child Welfare, and Youth",208
-73.912028,40.874959,"Legros Cultural Arts, Inc.",Libraries and Cultural Programs,208
-73.906565,40.889985,Ethical Culture Fieldston School,"Education, Child Welfare, and Youth",208
-73.918719,40.883164,USDA-CEO P721x At Shervier Nursing,"Education, Child Welfare, and Youth",208
-73.911129,40.885761,St Gabriel School,"Education, Child Welfare, and Youth",208
-73.9089,40.895851,Riverdale Presbyterian Church Complex,"Parks, Gardens, and Historical Sites",208
-73.907706,40.8807,Kingsbridge Branch Library,Libraries and Cultural Programs,208
-73.891256,40.882898,P.S./I.S. 95 Sheila Mencher Sc,"Education, Child Welfare, and Youth",208
-73.903871,40.889896,Brust Park,"Parks, Gardens, and Historical Sites",208
-73.909967,40.888251,Hudson River Parking Corp.,Core Infrastructure and Transportation,208
-73.893926,40.882759,Van Cortlandt,Libraries and Cultural Programs,208
-73.905927,40.876646,Advanced Endoscopy Center,Health and Human Services,208
-73.906995,40.880692,Tech International Charter School,"Education, Child Welfare, and Youth",208
-73.907038,40.877656,Tetk Management LLC,Core Infrastructure and Transportation,208
-73.906903,40.875967,Marble Hill Nursery School,"Education, Child Welfare, and Youth",208
-73.89042,40.883588,P.S. 168,"Education, Child Welfare, and Youth",208
-73.904773,40.90354,PS 81 & Playground,"Parks, Gardens, and Historical Sites",208
-73.907884,40.903319,City Owned Property,Administration of Government,208
-73.906807,40.875965,Marble Hill,Health and Human Services,208
-73.900563,40.872754,"St. Jemuel Group Family Day Care, Inc.","Education, Child Welfare, and Youth",208
-73.901511,40.875585,The New School For Leadership And Journalism,"Education, Child Welfare, and Youth",208
-73.915873,40.887049,Spuyten Duyvil Playground,"Parks, Gardens, and Historical Sites",208
-73.90799,40.882727,The Learning Experience,"Education, Child Welfare, and Youth",208
-73.906119,40.877639,The Marble Hill Family Practice Center,Health and Human Services,208
-73.900182,40.879786,Ft Independence,Health and Human Services,208
-73.903505,40.879505,Riverdale Fast Parking Corp,Core Infrastructure and Transportation,208
-73.91401,40.887848,Sts Sports,"Education, Child Welfare, and Youth",208
-73.92128,40.879036,Spuyten Duyvil Park,"Parks, Gardens, and Historical Sites",208
-73.90033,40.877505,Kingsbridge Heights Community Center,"Education, Child Welfare, and Youth",208
-73.896982,40.910623,Park Gardens CHHA,Health and Human Services,208
-73.900304,40.905643,Riverdale Montessori,"Education, Child Welfare, and Youth",208
-73.898913,40.885012,Putnam Gardens Parking Corp.,Core Infrastructure and Transportation,208
-73.914495,40.885491,Bright Horizons At Riverdale,"Education, Child Welfare, and Youth",208
-73.900705,40.877611,"Kingsbridge Heights Community Center, Inc.",Libraries and Cultural Programs,208
-73.902817,40.91263,ESL Lang Ctrs,"Education, Child Welfare, and Youth",208
-73.917432,40.88053,Phyllis Post Goodman Park,"Parks, Gardens, and Historical Sites",208
-73.915679,40.878744,Riverdale Senior Services,"Education, Child Welfare, and Youth",208
-73.911491,40.879004,Ms/HS 368 In-Tech Academy,"Education, Child Welfare, and Youth",208
-73.90212,40.879751,Crescent Park,"Parks, Gardens, and Historical Sites",208
-73.910307,40.875129,Atmosphere Academy Public Charter,"Education, Child Welfare, and Youth",208
-73.908295,40.909229,Hebrew Home for the Aged at Riverdale,Health and Human Services,208
-73.914776,40.878633,Tcr The Club Of Riverdale Tennis & Sport Camp,"Education, Child Welfare, and Youth",208
-73.90212,40.879748,Albany Crescent Park,"Parks, Gardens, and Historical Sites",208
-73.914301,40.887037,Camp Gan Israel- Bronx,"Education, Child Welfare, and Youth",208
-73.908594,40.895968,Riverdale Presbyterian Church,"Education, Child Welfare, and Youth",208
-73.904095,40.903438,Riverdale Neighborhood House,"Education, Child Welfare, and Youth",208
-73.908725,40.913634,Tcr Camps @ Cmsv,"Education, Child Welfare, and Youth",208
-73.903619,40.903713,Riverdale Neighborhood House,"Education, Child Welfare, and Youth",208
