X,Y,facname,facdomain,borocd
-73.881141,40.736911,New Life Food Pantry,"Education, Child Welfare, and Youth",404
-73.865096,40.746392,P277q At Q311,"Education, Child Welfare, and Youth",404
-73.873656,40.746703,Children's Big Apple,Health and Human Services,404
-73.870099,40.736514,Newton Plyd,"Education, Child Welfare, and Youth",404
-73.866803,40.745623,Pre - K Center At P.S. 315,"Education, Child Welfare, and Youth",404
-73.88686,40.744383,Frank D'Oconnor Playground,"Parks, Gardens, and Historical Sites",404
-73.869391,40.735868,Cathedral Prep School And Seminary,"Education, Child Welfare, and Youth",404
-73.865117,40.736372,Aobh,"Education, Child Welfare, and Youth",404
-73.875828,40.746496,Elmhurst Day Care,"Education, Child Welfare, and Youth",404
-73.889138,40.745539,Vietnam Veterans Triangle,"Parks, Gardens, and Historical Sites",404
-73.860759,40.735858,Lefrak City Jewish Center,Health and Human Services,404
-73.854131,40.749559,Mip Vi,"Education, Child Welfare, and Youth",404
-73.8774,40.738567,Saint James Church,"Parks, Gardens, and Historical Sites",404
-73.863286,40.747702,Veteran's Square,"Parks, Gardens, and Historical Sites",404
-73.885668,40.74508,Elmhurst Hospital Center,Health and Human Services,404
-73.892842,40.74648,Drum Office,Health and Human Services,404
-73.872201,40.736701,Magic Years Preschool And Nursery,"Education, Child Welfare, and Youth",404
-73.86206,40.749398,Nfp,Health and Human Services,404
-73.854553,40.746991,P.S. 28 - The Thomas Emanuel Early Childhood Center,"Education, Child Welfare, and Youth",404
-73.877241,40.737388,Star Paradise,"Education, Child Welfare, and Youth",404
-73.864365,40.734798,Lefrak City - Office,Administration of Government,404
-73.857316,40.736655,"Horace Harding Operating, LLC",Core Infrastructure and Transportation,404
-73.861352,40.737015,Cath Home Bur For Dependent Children,"Education, Child Welfare, and Youth",404
-73.858286,40.744848,St. Leo Catholic Academy,"Education, Child Welfare, and Youth",404
-73.88393,40.741245,NYPCC Queens Adult Home Clinic Treatment,Health and Human Services,404
-73.865416,40.734721,Sp Plus Corporation,Core Infrastructure and Transportation,404
-73.869892,40.748789,The PAC Program OP,Health and Human Services,404
-73.875328,40.735679,"Central Parking System Of New York,Inc.",Core Infrastructure and Transportation,404
-73.8796,40.745951,PS 89q: The Elmhurst School,"Education, Child Welfare, and Youth",404
-73.882416,40.739887,P.S. 007 Louis F. Simeone,"Education, Child Welfare, and Youth",404
-73.849786,40.738822,Park Terrace Care Center,Health and Human Services,404
-73.871498,40.74336,Corona Arts & Sciences Academy,"Education, Child Welfare, and Youth",404
-73.862528,40.74972,Corona Plaza,"Parks, Gardens, and Historical Sites",404
-73.883506,40.732959,Saint Adalbert Catholic Academy,"Education, Child Welfare, and Youth",404
-73.864002,40.735563,"Central Parking System Of New York,Inc.",Core Infrastructure and Transportation,404
-73.878624,40.735877,PS 16q Annex,"Education, Child Welfare, and Youth",404
-73.876426,40.743012,Pre - K Center At 44 - 15 Judge Street,"Education, Child Welfare, and Youth",404
-73.877474,40.735303,South Asian Youth Action (SAYA),"Education, Child Welfare, and Youth",404
-73.865983,40.736242,Sp Plus Corporation,Core Infrastructure and Transportation,404
-73.866547,40.748564,"PS 19, Mini-School, Playground","Education, Child Welfare, and Youth",404
-73.887084,40.737222,The 51 Avenue Academy (The Path To Academic Excellence),"Education, Child Welfare, and Youth",404
-73.879622,40.741204,"Claremont Terrace""""",Administration of Government,404
-73.853459,40.737652,High School For Arts And Business,"Education, Child Welfare, and Youth",404
-73.865186,40.74601,The Riverview School,"Education, Child Welfare, and Youth",404
-73.876956,40.730721,Park Strip,"Parks, Gardens, and Historical Sites",404
-73.888092,40.746932,Broadway Inc,"Education, Child Welfare, and Youth",404
-73.882356,40.742333,Moore Homestead Playground,"Parks, Gardens, and Historical Sites",404
-73.861572,40.737432,Lefrak City,Libraries and Cultural Programs,404
-73.865197,40.734309,Sylvan Elm Garage LLC,Core Infrastructure and Transportation,404
-73.876816,40.738556,Queens Library-Elmhurst,"Education, Child Welfare, and Youth",404
-73.884121,40.739125,"Yoon, Hi Bom",Core Infrastructure and Transportation,404
