X,Y,facname,facdomain,borocd
-73.747236,40.771749,"Quintet of the Americas, Inc.",Libraries and Cultural Programs,411
-73.760581,40.75422,Camp Oak At P203,"Education, Child Welfare, and Youth",411
-73.764035,40.751834,Bell Malls,"Parks, Gardens, and Historical Sites",411
-73.745626,40.746989,Playground For PS 213 (Jop),"Parks, Gardens, and Historical Sites",411
-73.784305,40.757545,East Flushing,Libraries and Cultural Programs,411
-73.790734,40.769526,City Owned Property,Administration of Government,411
-73.73558,40.759672,Park,"Parks, Gardens, and Historical Sites",411
-73.74544,40.747467,PS 213 And Playground (Jop),"Parks, Gardens, and Historical Sites",411
-73.794038,40.740736,USDA-CEO P811q At Francis Lewis HS,"Education, Child Welfare, and Youth",411
-73.756587,40.751848,P.S. Q993,"Education, Child Welfare, and Youth",411
-73.794038,40.740736,Francis Lewis HS & Athletic Fl,"Parks, Gardens, and Historical Sites",411
-73.770839,40.757604,NYC Parks-Marie Curie Mini Pool,"Education, Child Welfare, and Youth",411
-73.738234,40.768222,Douglaston/Little Neck,Libraries and Cultural Programs,411
-73.731829,40.759245,North Hills Branch,Administration of Government,411
-73.747056,40.76789,Douglaston Park,"Parks, Gardens, and Historical Sites",411
-73.741589,40.762581,City Owned Property,Administration of Government,411
-73.783819,40.76982,PS 159 & Playground,"Parks, Gardens, and Historical Sites",411
-73.784927,40.76004,Kon Gen Corporation,"Education, Child Welfare, and Youth",411
-73.788361,40.754288,Leaders Day Camp At PS 162,"Education, Child Welfare, and Youth",411
-73.756587,40.751848,USDA-CEO P993q At Benjamin C HS,"Education, Child Welfare, and Youth",411
-73.782217,40.758721,Ozanam Hall of Queens Nursing Home Inc,Health and Human Services,411
-73.784305,40.757545,Queens Library-East Flushing,"Education, Child Welfare, and Youth",411
-73.78733,40.743266,PS 177 & Playground,"Parks, Gardens, and Historical Sites",411
-73.796369,40.73984,"NYP/Queens Developmental Disability, Neuro Science Center and Pediatric Asthma Center",Health and Human Services,411
-73.757553,40.749756,Kcpcq Summer Camp,"Education, Child Welfare, and Youth",411
