X,Y,facname,facdomain,borocd
-73.758206,40.5993,P.S. 215 Lucretia Mott School,"Education, Child Welfare, and Youth",414
-73.850914,40.581844,Park,Administration of Government,414
-73.837734,40.579388,Seaside,Libraries and Cultural Programs,414
-73.751347,40.597147,Yeshiva Darchei Torah,"Education, Child Welfare, and Youth",414
-73.744109,40.599853,The Child Center Of NY@ P.S.197,"Education, Child Welfare, and Youth",414
-73.758869,40.610209,City Owned Property,Administration of Government,414
-73.779237,40.593608,"Eng 265, Lad 121, Ems, Bat 47","Public Safety, Emergency Services, and Administration of Justice",414
-73.822653,40.584157,Dr. Susan Smith McKinney - Neponsit ADHCP,Health and Human Services,414
-73.822238,40.600821,Park,Administration of Government,414
-73.822653,40.584157,Health Home Non Medicaid Care Management C&Y,Health and Human Services,414
-73.760932,40.59944,City Owned Property,Administration of Government,414
-73.914456,40.561265,Little Tots Red Wagon,"Education, Child Welfare, and Youth",414
-73.745263,40.602229,Mesivta Shaarei Chaim,"Education, Child Welfare, and Youth",414
-73.751753,40.60493,Acqc,Health and Human Services,414
-73.763585,40.601756,Kappa Vi,"Education, Child Welfare, and Youth",414
-73.817443,40.588762,City Owned Property,Administration of Government,414
-73.743861,40.600348,Yeshiva Of Far Rockaway,"Education, Child Welfare, and Youth",414
-73.752262,40.603907,Rockaway Development & Revitalization Corporation,"Education, Child Welfare, and Youth",414
-73.813899,40.586849,Vip Iv Day Care Center Corp.,"Education, Child Welfare, and Youth",414
-73.848452,40.576486,St Francis De Sales Catholic Academy,"Education, Child Welfare, and Youth",414
-73.781518,40.594505,Cassena Care Dialysis at Peninsula,Health and Human Services,414
-73.801801,40.590459,City Owned Property,Administration of Government,414
-73.787699,40.595219,Ocean Bay Apartments (Bayside),Health and Human Services,414
-73.781358,40.59581,Ms 105,"Education, Child Welfare, and Youth",414
-73.782696,40.592676,Solid Rock SDA Church,Health and Human Services,414
-73.802857,40.591879,Rockaway Garage,"Parks, Gardens, and Historical Sites",414
-73.754091,40.600213,Community Mental Health Center,Health and Human Services,414
-73.752427,40.60512,The Action Center,"Education, Child Welfare, and Youth",414
-73.916274,40.561329,City Owned Property,Administration of Government,414
-73.827403,40.583949,Rockaway Water Pollution Cp,Core Infrastructure and Transportation,414
-73.808301,40.588453,Action Center Hammel,"Education, Child Welfare, and Youth",414
-73.767023,40.594606,Lighthouse Elementary School,"Education, Child Welfare, and Youth",414
-73.747736,40.600168,Peachtree Play School,"Education, Child Welfare, and Youth",414
