X,Y,facname,facdomain,borocd
-73.86279,40.726185,Hoffman Park,"Education, Child Welfare, and Youth",406
-73.847839,40.730164,Esther Grunblat Center of Central Queens,Health and Human Services,406
-73.846803,40.722237,MacDonald Park,"Parks, Gardens, and Historical Sites",406
-73.859454,40.72963,Metropolitan Learning Institute,"Education, Child Welfare, and Youth",406
-73.845223,40.733861,Under Bridge Park/Dog Run,"Parks, Gardens, and Historical Sites",406
-73.854934,40.73627,Barrier Playground,"Parks, Gardens, and Historical Sites",406
-73.830613,40.715268,"Muss, Hyman - Et Al",Core Infrastructure and Transportation,406
-73.837613,40.722839,PS 196 & Playground (Jop),"Parks, Gardens, and Historical Sites",406
-73.85061,40.722059,Happy Faces Day Care Of Queens.,"Education, Child Welfare, and Youth",406
-73.8415,40.716687,The Church-in-the-Gardens,"Parks, Gardens, and Historical Sites",406
-73.845219,40.733862,Underbridge Dog Run,"Parks, Gardens, and Historical Sites",406
-73.853923,40.708616,Glendale Yard,Administration of Government,406
-73.865513,40.731804,Lost Battalion Hall Rec Ctr,Core Infrastructure and Transportation,406
-73.862884,40.728119,Sasf @ P.S. 139q,"Education, Child Welfare, and Youth",406
-73.838687,40.722628,P.S. Q016 The Nancy Debenedittis School,"Education, Child Welfare, and Youth",406
-73.866044,40.73147,Lost Battalion Center,"Education, Child Welfare, and Youth",406
-73.853474,40.702652,"Small Wonder Preschool,Inc.","Education, Child Welfare, and Youth",406
-73.851699,40.722707,J.H.S. 190 Russell Sage School,"Education, Child Welfare, and Youth",406
-73.858958,40.719761,Baby Steps Day Care Center Inc,"Education, Child Welfare, and Youth",406
-73.857131,40.727468,Sp Plus Corporation,Core Infrastructure and Transportation,406
-73.865478,40.720825,Our Savior Summer Camp,"Education, Child Welfare, and Youth",406
-73.842966,40.720234,"Windsor Fh Car Park, LLC",Core Infrastructure and Transportation,406
-73.85073,40.717296,City Owned Property,Administration of Government,406
-73.856537,40.732797,Fairytale Daycare Pre School Center,"Education, Child Welfare, and Youth",406
